smiles,qed,sa,egfr,her2
Cc1cccc(N2CCN(C(=O)c3noc4c3COc3ccccc3-4)NC2C)c1,0.7236,5.0,-9.8,-11.8
Cc1cccc(N2CCN(C(=O)c3noc4c3COc3ccccc3-4)CC2C)c1,0.6655,5.0,-9.8,-11.3
Cc1cccc(N2CC[SH](C(=O)c3noc4c3COc3ccccc3-4)CC2C)c1,0.6286,5.0,-10.3,-10.8
O=C1N=C(N2CCN(c3cccc4c3=CC=C[SH]=4)CC2)SC1=Cc1ccccc1O,0.4311,5.0,-10.1,-10.6
Cc1cccc(N2CNN(C(=O)c3noc4c3COc3ccccc3-4)CC2C)c1,0.7236,5.0,-9.6,-11.0
Cc1cccc([SH]2CCN(C(=O)c3noc4c3COc3ccccc3-4)CC2C)c1,0.6369,5.0,-9.6,-11.0
Cc1cccc(N2NCN(C(=O)c3noc4c3COc3ccccc3-4)CC2C)c1,0.7236,5.0,-9.9,-10.5
O=C(CN1CNCc2ccccc21)Nc1ccccc1C(=O)Nc1ccccn1,0.6268,5.0,-10.4,-9.9
O=C1N=C(N2CCN(c3cccc4c3=CC=C[SH]=4)CC2)CC1=Cc1ccccc1O,0.4482,5.0,-9.8,-10.5
O=C(CN1CNCc2ccccc21)Nc1ccccc1C(=O)Nc1ccccc1,0.628,5.0,-10.1,-10.2
Cc1cccc(N2CCN(C(=O)c3noc4c3COc3ccccc3-4)CC2P)c1,0.6065,5.0,-9.6,-10.7
Cc1cccc(N2CCN(C(=O)c3noc4c3COc3ccccc3-4)CC2C)n1,0.6687,5.0,-9.6,-10.5
O=C1N=C(N2CCN(c3cccc4c3=CC=C[SH]=4)CO2)SC1=Cc1ccccc1O,0.4277,5.0,-9.1,-10.7
O=C(CN1CSCc2ccccc21)Nc1ccccc1C(=O)Nc1ccccc1,0.6542,5.0,-9.7,-10.0
O=C1N=C(I2CCN(c3cccc4c3=CC=C[SH]=4)CC2)SC1=Cc1ccccc1O,0.1963,5.0,-9.2,-10.1
CC1CN(C(=O)c2noc3c2COc2ccccc2-3)CCN1c1cccc(S)c1,0.6537,5.0,-9.1,-10.1
C=c1nc(N2CCN(c3cccc4c3=CC=C[SH]=4)CC2)sc1=Cc1ccccc1O,0.4918,5.0,-9.0,-10.2
O=C(CN1CNCc2ncccc21)Nc1ccccc1C(=O)Nc1ccccc1,0.6268,5.0,-9.3,-9.5
O=C(CN1CNCc2cpccc21)Nc1ccccc1C(=O)Nc1ccccc1,0.6005,4.8549,-9.1,-9.7
O=C(CN1CNCc2ccccc21)Nc1ccccc1C(O)Nc1ccccc1,0.4877,5.0,-9.2,-9.5
Cc1ccc(C(C[NH3+])S(=O)(=O)c2c#cc(F)cc2)cc1,0.9278,3.8274,-9.1,-9.4
O=C1N=C(N2CCN(c3cccc4c3=CC=C[SH]=4)CC2)SC1=Cc1ccncc1O,0.4286,5.0,-9.9,-8.5
O=C(C[SH]1CNCc2ccccc21)Nc1ccccc1C(=O)Nc1ccccc1,0.4852,5.0,-9.3,-8.9
CCOC(=O)Nc1cccc(NC(=O)NC(C)c2ccc(C)c(F)c2)c1C,0.6978,4.5463,-9.1,-9.1
C=C(CCOc1c#ccc(C(N)=O)c1)NCc1cc(=O)[nH]c2ccccc12,0.5734,4.2082,-9.1,-9.1
CC1=CC=CS(N2CCN(C(=O)c3noc4c3COc3ccccc3-4)CC2C)=C1,0.7056,5.0,-9.1,-9.1
O=C1C2C3C=CC(CC3)C2C(=O)N1N=CC1=C(O)C=C[SH]2CC=CC=C12,0.3407,5.0,-8.8,-9.3
O=C1C2C3C=CC(CC3)C2C(O)N1N=CC1=C(O)C=CS2=CC=CC=C12,0.4472,5.0,-8.6,-9.5
NC(=O)c1cc#cc(OCCC(=O)NCC2=CS(=O)Nc3ccccc32)c1,0.6711,3.9102,-8.8,-9.3
O=C1C2C3CCC(CC3)C2C(=O)N1N=CC1=C(O)C=CS2=CC=CC=C12,0.462,5.0,-8.8,-9.3
O=C(CCOc1c#ccc(C(=O)I)c1)NCc1cc(=O)[nH]c2ccccc12,0.4075,4.0842,-8.4,-9.5
CCc1c(C(=O)N2CCP(Cc3cc(=O)n4ccsc4n3)CC2)cnn1-c1ccc(Cl)cc1,0.3838,5.0,-8.3,-9.6
CCc1c(C(=O)N2CCP(Cc3cc(=O)n4ccsc4n3)CN2)cnn1-c1ccc(F)cc1,0.4399,5.0,-8.5,-9.4
Cc1ccc(NC(=O)Cn2c(=P)n(C)c(=S)n2NC(=O)c2ccc(Cl)cc2)c(C)c1,0.4386,4.6997,-9.0,-8.8
CCc1c(C(=O)N2CCP(Cc3cc(=O)n4pcsc4n3)CC2)cnn1-c1ccc(F)cc1,0.3812,5.0,-8.5,-9.3
CCC(NC(=O)NNC(=O)COC1C=CC(C=N)CC1)c1cccc(Cl)c1,0.3253,3.9011,-8.3,-9.5
