SMILES,QED,SAScore,EGFR_Docking,HER2_Docking
CCn1nnc2cc(C(=O)Nc3cc(-c4ncco4)ccc3C)ccc21,0.6086,2.3572,-6.53,-9.53
COC(=O)c1cc(CN2CCN(c3nccc(OC)n3)CC2)c(C)s1,0.7533,2.4465,-5.75,-7.83
CC[NH2+][C@H](c1ccc(Cl)cn1)[C@H]1CCCc2cccnc21,0.9434,4.0683,-6.04,-8.01
Cn1c(C(=O)NC[C@@H](O)C2CCOCC2)ccc1-c1ccccc1,0.8844,2.8515,-5.94,-8.55
C[NH+]1CCN(Cc2cc(Cl)ccc2N)CC1,0.7273,3.5671,-5.35,-6.87
CC[C@H](C)c1ccccc1OC(=O)c1ccc(CNC(C)=O)cc1,0.6436,2.3313,-5.94,-8.77
COc1ccc(CC(=O)N/N=C(/C)c2cccc(NC(=O)C3CC3)c2)cc1,0.5843,1.966,-6.05,-9.06
C[C@@H]1CCC[C@@](O)(CNc2ncc(Cl)cc2F)C1,0.888,3.3613,-5.55,-8.11
CCOc1ccc(NC(=O)[C@@H](C)OC)cc1Cl,0.8823,2.2203,-5.24,-6.95
C[C@@H]1CCC[C@@H](NC(=O)[C@]2(C)Cn3c(nc4ccccc43)C(=O)N2Cc2ccc(F)cc2)[C@@H]1C,0.6195,3.6755,-6.49,-9.43
C[NH+](CCc1ccccn1)CC[C@H]1CCC[C@]1(N)C#N,0.7952,4.9031,-5.57,-7.22
CC[C@@H]1CCC/C1=N\NC(=O)c1cccc(Cl)c1,0.8324,2.7566,-5.73,-7.98
CC1(C)[C@H]2OCC[C@H]2[C@H]1NC(=O)/C=C/c1cc(Cl)c2c(c1)OCCO2,0.8385,3.8529,-5.79,-8.14
CC(C)NC(=O)c1ccc([N-]S(=O)(=O)c2ccccc2C#N)cc1,0.9018,2.9997,-6.0,-8.65
Cc1nc2ccc(NC(=O)C(=O)N[C@@H]3CCCC[C@H]3C)cc2s1,0.83,2.9139,-5.91,-8.69
Cc1ccc2nc(NC(=O)[C@H](C)Oc3ccc(C)c(C)c3)sc2c1,0.7533,2.4115,-6.24,-9.18
CCCC[C@@H](CC)[C@H]([NH3+])c1ccc2c(c1)C[C@H](C)O2,0.8366,3.8865,-5.37,-7.88
COCCN(CC(F)F)C(=O)C[C@@H]1Sc2ccc(Cl)cc2NC1=O,0.7922,3.1848,-5.8,-7.64
COc1ccccc1[C@@H](NC(=O)N1C[C@H]2CC[C@@H]1C2)c1ccccn1,0.9305,3.9995,-6.04,-8.39
CC[C@@H]1CCC[C@@H]([NH+]2CC(n3cc(C(=O)[O-])nn3)C2)C1,0.7704,4.9539,-5.57,-7.39
CCN(c1ccc(C[NH2+]C)cc1F)C(C)C,0.8091,3.3774,-5.15,-5.99
N#C[C@H](C(=O)c1ccc(Cl)cc1)c1nnnn1-c1ccccc1,0.6892,2.6524,-6.06,-8.48
Cc1cccc(NNC(=O)c2ccn(-c3ccc(F)cc3)n2)c1,0.7281,2.0799,-6.1,-8.96
CC[NH+]1CCN([C@@H]2CC[NH+](Cc3ccco3)C2)CC1,0.7043,5.7043,-5.38,-6.89
COc1ccc(NC(=O)CSc2ccc3nnc(-c4ccccn4)n3n2)c(OC)c1,0.4536,2.389,-6.49,-8.51
CCC[C@H]1CC[C@H](C[NH3+])[C@H]([NH+](C)C2CCCC2)C1,0.7406,5.338,-5.26,-6.87
O=C(Nc1ccc(Br)cc1)c1cccc(NS(=O)(=O)c2ccc(F)cc2)c1,0.5961,1.7521,-6.38,-9.77
CC(=O)Nc1cn(-c2ccc(C(=O)Nc3ccc4c(c3)OCO4)cc2)cn1,0.7423,2.2481,-6.25,-9.15
O=C([O-])c1cc(NC(=O)c2cc([N+](=O)[O-])ccc2N2CCCC2)ccc1Cl,0.6209,2.4047,-6.35,-8.79
CC(C)[C@@H](C)CC(=O)N[C@H](C)C(C)(C)C[NH+](C)C,0.709,4.5166,-5.29,-6.69
CCOC(=O)c1cc2c(cc1Cl)OCCO2,0.7468,1.9649,-5.45,-6.78
Cc1cccc([C@@H](CNC(=O)c2cccc3[nH]ccc23)N2CCOCC2)c1,0.7314,2.652,-6.38,-9.46
Cc1ccc(NC(=O)C(=O)NCCCSc2nnc(N)s2)cc1,0.4147,2.2324,-5.86,-8.15
CC[NH2+][C@@H](c1ccccc1)[C@@H](C)Sc1ccncc1,0.8201,3.8446,-5.53,-7.46
CCc1noc([C@@H]2CCC[NH+](C3CCOCC3)C2)n1,0.869,4.6837,-5.56,-7.16
O=S(=O)(c1ccc(Br)s1)N1CCN(c2ncccn2)CC1,0.8013,2.2724,-5.98,-7.61
COc1ccccc1COc1cc(C)c2c(c1)O/C(=C\c1ccc(C)o1)C2=O,0.58,2.4775,-6.38,-9.17
Cc1sc(NC(=O)[C@@H](C)Oc2ccccc2)nc1-c1ccc(F)cc1,0.723,2.3605,-6.22,-9.18
Cc1ccc(C[NH+]2CCc3nc(NC(=O)c4ccccn4)sc3C2)cc1,0.7455,3.6592,-6.23,-8.48
CCOc1ccc(CN2CCN(C(=O)N[C@@H](C)[C@H]3CCCO3)CC2)cc1,0.8458,2.8466,-5.57,-7.98
Cc1nc(S(=O)(=O)N2CCC(C(=O)O[C@H](C)CC(C)C)CC2)cn1C,0.7155,3.029,-5.79,-7.82
O=c1[nH]c(Cc2ccc([N+](=O)[O-])cc2)nc2scc(-c3ccccc3)c12,0.4356,2.1924,-6.3,-9.85
O=C(Nc1ccon1)c1cccn(Cc2cccc([N+](=O)[O-])c2)c1=O,0.5603,2.3644,-6.23,-9.3
Cc1ccc([C@H](C/[NH+]=C/c2ccccc2O)N2CCOCC2)o1,0.8039,3.6438,-5.88,-8.01
COc1ncccc1C(=O)N1CCC(n2cc(C[NH3+])nn2)CC1,0.8485,2.9322,-5.89,-7.87
Cn1nc2n(c1=O)CC[NH+](Cc1c[nH]nc1-c1c(F)cccc1F)C2,0.6921,4.5487,-6.34,-8.64
C[C@H]1CCCN(S(=O)(=O)N[C@@H]2CCCN(c3ccc(C#N)cc3F)C2)C1,0.8691,3.2056,-5.89,-8.21
CCN(CC)C(=O)CN1CC[NH+](C2CCC(C)(C)CC2)CC1,0.8212,3.8077,-5.61,-7.53
Cc1cncc(NC(=O)N2CCN(C(=O)c3ccc(F)c(F)c3)CC2)c1,0.8955,2.121,-6.07,-9.0
Cc1ccc2c(c1)[C@]1(C(=O)N2)C(C#N)=C([NH3+])[N-]C2=NC(SCc3cccc(F)c3)=NC(=O)[C@@H]21,0.7115,5.1288,-5.69,-8.39
O=C(N/N=C/c1coc2ccccc2c1=O)c1cccc(Cl)c1,0.5931,2.1367,-6.19,-9.43
CC(C)Cc1ncc(CN2CCC[C@@H](c3nnc4n3CCC4)C2)s1,0.8344,3.2068,-5.95,-7.9
C[C@@H](C1CC1)N(C)C(=O)[C@H]1CC(=O)N(c2ccccc2Br)C1,0.823,3.0779,-5.76,-7.65
CC(=O)Nc1nc(C(=O)O[C@H](c2ccccc2)c2nccs2)cs1,0.7052,2.8936,-6.11,-8.44
CC(C)NC(=O)NC(=O)CSc1nc2ccccc2c(=O)n1[C@@H](C)c1ccccc1,0.4677,2.6614,-6.39,-8.53
COc1ccc(C(=O)N/C(=C/c2cccc([N+](=O)[O-])c2)C(N)=O)cc1,0.4712,2.0907,-5.94,-8.5
CSc1ccc(NC(=O)CCc2c(C)nc(SC)[nH]c2=O)cc1,0.6191,2.4188,-5.98,-8.8
CC(=O)Nc1ccc(NC(=O)[C@H]2C[C@@H]2C)cc1Cl,0.8838,2.5454,-5.51,-7.61
CCc1ccc(C(=O)NC2CC[NH+](C[C@@H](O)CC)CC2)cc1,0.728,3.7114,-5.69,-8.16
C[NH+]1CCN(CC[C@H]2CCC[C@@]2([NH3+])C(=O)[O-])CC1,0.5543,5.6846,-5.27,-6.92
CON(C)C(=O)CN1C(=O)N[C@]2(C[C@@H](C)CC(C)(C)C2)C1=O,0.6261,3.9003,-5.82,-7.92
CCc1nn(C)cc1NC(=O)CN1C(=O)N[C@]2(CCCC[C@H]2C)C1=O,0.8053,3.8376,-6.13,-8.26
O=C(Nc1nnc(-c2ccc(Br)o2)o1)c1ccc(S(=O)(=O)N2CCOCC2)cc1,0.5861,2.4284,-6.37,-8.72
O=C(Nc1ccccc1C(=O)N1CCCCC1)c1ccc(Br)c(F)c1,0.8197,1.8539,-6.27,-8.62
CN/C(=[NH+]\C)SCC(=O)N1CC[C@@H](C)Sc2ccccc21,0.6274,3.868,-5.78,-7.67
C[C@H]1CCC[C@@H](CCNC2=[NH+]CCCC2)C1,0.7441,4.4009,-5.36,-6.89
O=C(N/N=C/c1ccc([N+](=O)[O-])o1)c1cccc([N+](=O)[O-])c1,0.5073,2.3152,-5.9,-8.69
CCC[NH2+][C@H](C[NH+](C)C)[C@@H]1CCOC2(CCSCC2)C1,0.7324,6.0759,-4.97,-6.63
COCCCNC(=O)C1CCN(c2nnc(-c3ccc(C)cc3)o2)CC1,0.7658,2.2472,-5.73,-8.65
Nc1cc(Cl)c(Cl)cc1NC[C@@H]1CCCC[C@H]1O,0.7459,3.0101,-5.62,-7.66
CS(=O)(=O)N1CCc2c(nc([C@H]3CCN(C(=O)CCC4CCCC4)C3)[nH]c2=O)C1,0.772,3.2833,-6.35,-7.84
CCCSc1nc2c(c(=O)[nH]1)[C@@H](C(=O)Nc1cccc(C(F)(F)F)c1)CC(=O)N2,0.5025,3.2262,-6.48,-9.69
C[C@H]1OCC[C@H]1C(=O)NCc1ccc(NC(N)=O)cc1,0.772,2.9602,-5.59,-7.64
O=C(Nc1nc2c(s1)CCCC2)c1cc(=O)[nH]c2ccc(S(=O)(=O)N3CCOCC3)cc12,0.5976,2.5747,-6.44,-8.86
CSc1ncc(C(=O)N2CCN(c3cc[nH+]c4cc(Cl)ccc34)CC2)n1-c1ccc(F)cc1,0.4065,3.1867,-6.52,-9.11
C[C@@H]1CCCC[NH+]1CCCNC(=O)NCc1cccc(Br)c1,0.6611,3.9942,-5.64,-8.01
CC(C)(C)OC[C@@H](O)C[NH+]1CCC([C@@H](O)c2ccc(Cl)cc2)CC1,0.7287,4.3196,-5.68,-7.69
O=C(NCc1ncc[nH]1)Nc1cnn(CC(F)(F)F)c1,0.7962,2.6746,-5.59,-7.84
