SMILES,QED,SAScore,EGFR_Docking,HER2_Docking
O=C(NC(=S)Nc1ccc(NC(=O)c2ccccc2)cc1)c1ccc(Cl)cc1,0.5452,1.6993,-6.49,-9.05
Cn1c(=O)[nH]c(=O)c2[nH]c(CCC(=O)Nc3ccc4c(c3)Cc3ccccc3-4)nc21,0.4279,2.5394,-6.65,-8.75
C[NH2+][C@H](c1ccc(-c2ccccc2)cc1)[C@@H]1CSCCO1,0.9393,3.7389,-5.88,-7.75
Nc1ccc(OCc2nccs2)cc1Cl,0.8395,2.2375,-5.34,-7.02
CC(C)c1ccccc1NC(=O)[C@H](C)Nc1ccc2c(c1)oc(=O)n2C,0.7333,2.6891,-6.28,-9.24
CCOC(=O)c1sc2ncnc(Cl)c2c1C,0.6124,2.2893,-5.44,-7.34
C[C@H]1C[C@H](Nc2nc3ccc([N+](=O)[O-])cc3o2)CC[C@H]1C,0.6825,3.4359,-5.85,-8.32
CCc1c([O-])nc([C@](C)([NH3+])CC)[nH]c1=O,0.6896,4.6347,-5.18,-6.43
c1ccc(-n2ncc3c(NC4CCCCCC4)ncnc32)cc1,0.7444,2.1097,-6.16,-8.77
Cc1cccc([C@@H](NC(=O)Cc2cccc(OCC#N)c2)C(C)(C)C)c1,0.8426,2.7191,-5.62,-8.54
CC(C)CCn1cc(C(=O)[O-])c(-c2ccoc2)n1,0.8033,3.0804,-5.51,-7.29
C[C@H](OC(=O)/C=C/c1ccc2ccccc2n1)[C@H]1CCCO1,0.6411,3.2351,-5.96,-8.25
CN(C1CCCCC1)S(=O)(=O)c1ccc(NC(=O)CC2CCCC2)cc1,0.8082,2.0882,-6.01,-8.25
CCOc1cccc2sc(N(Cc3ccccc3)C(=O)[C@H]3CCCCN3S(C)(=O)=O)nc12,0.5174,2.8408,-6.33,-8.19
Cc1cccc(OCC(=O)NC[C@@H](c2cccs2)[NH+]2CCCCCC2)c1C,0.7668,3.7427,-6.2,-7.98
COc1ccc([C@@H](C)[NH+](C)CC(=O)N(C)C2(C#N)CCCCC2)cc1,0.8581,4.0277,-5.8,-7.65
O=C(CN1C(=O)N[C@H](CCc2ccccc2)C1=O)Nc1cccnc1Cl,0.6005,2.6318,-6.22,-8.23
CC(C)[C@@H](NC(=O)CN1C(=O)N[C@H](Cc2c[nH]c3ccccc23)C1=O)c1ccc(F)cc1,0.4963,3.1367,-6.51,-8.78
