SMILES,QED,SAScore,EGFR_Docking,HER2_Docking
O=C(CSc1ccccc1Cl)Nc1ccc([N+](=O)[O-])cc1C(F)(F)F,0.4428,2.1295,-6.18,-8.62
C[C@H](c1nc(N)nc(N(C)C)n1)[NH+]1CCN(Cc2ccc(OC(F)(F)F)cc2)CC1,0.7095,3.9308,-6.15,-8.37
CCOC[C@H]1CCCN(C(=O)CSc2cccc(C(F)(F)F)c2)C1,0.7155,2.7347,-5.87,-8.01
Cc1ccccc1[C@@H]([NH2+]Cc1ncccc1F)C1CC1,0.89,3.5758,-5.2,-8.0
C[C@@H](COc1ccc(F)cc1F)NC(=O)c1cccc2cc[nH]c12,0.7503,2.6657,-6.42,-9.24
C[NH2+]C[C@H](C)C(=O)NCCCc1ccccc1,0.6667,3.1302,-5.3,-6.89
COCCn1c(SCC(=O)NC2CCCC2)nc2ccc(Br)cc2c1=O,0.5296,2.2175,-6.22,-8.22
O=C1Cc2cc(NC(=O)c3ccc(Oc4ccccc4)cc3)ccc2N1,0.7443,1.8822,-6.6,-9.97
O=C(CCCNC(=O)c1ccco1)Nc1cccc(C2SCCS2)c1,0.7171,2.4093,-6.14,-8.47
C[C@H]1C[C@H](NC(=O)NCC2(O)CCCCC2)C(=O)N1c1ccccc1,0.7822,3.2437,-6.14,-8.23
CC(=O)N1CCN(C(=O)[C@@H]2CC(=O)N(CC3CC3)C2)CC1,0.732,2.6612,-5.65,-7.99
CCN(C)C(=O)/C=C/c1ccc(C(N)=O)cc1,0.7946,2.0746,-5.46,-6.89
COC(=O)c1ccccc1C[NH+]1CCC[C@H](C(=O)Nc2ccc(Cl)cn2)C1,0.7679,3.8717,-6.39,-8.61
O=C1NCC[NH+](CCc2ccccc2)[C@@H]1CC(=O)N1CCCCO1,0.7682,4.3609,-6.04,-8.19
COc1ccc([C@@H]2[C@@H](C(=O)NCCO)CCC(=O)N2C)cc1,0.8397,2.9036,-5.7,-7.95
COc1cccc(C(=O)N(C)[C@@H](C)Cc2cccs2)c1F,0.8445,2.7338,-5.7,-7.16
CCNC(=O)c1ccc(CNC(=O)N[C@@H]2CCCC[C@@H]2CO)cc1,0.6396,2.7769,-5.83,-8.27
O=C(COC(=O)c1nn(-c2ccccc2)c2c1CCC2)NC[C@H]1CCCO1,0.7856,2.7387,-6.14,-8.61
C[NH+]1CCCN(C(=O)[C@@H]2CN(C(=O)NCc3ccco3)CCO2)CC1,0.7274,4.1315,-5.97,-7.67
COCCCN1C(=O)c2ccc(C(=O)Nc3cccc([N+](=O)[O-])c3)cc2C1=O,0.3395,2.0795,-6.25,-9.38
CC[C@H](C)[NH2+]Cc1ccccc1,0.6951,3.6317,-4.77,-5.44
NNC(=O)c1cnc2cc(C(F)(F)F)c(Cl)cc2c1N,0.427,2.5869,-5.84,-8.01
CC[C@H](Sc1nnc2c3ccccc3n(C(C)C)c2n1)C(=O)Nc1nnc(C)s1,0.4598,3.1997,-6.41,-9.29
