smiles,egfr,qed,sa,her2
FC(F)(F)c1ccccc1NC(=O)c1cc2cccc[n+]2c2nc([C@H]3CC[NH+](Cc4ccccc4)C3)[nH]c12,-11.6,0.38699999999999996,4.414767634260902,-11.2
[N+]=Cc1cccc(/C=C2\C(=O)N(Cc3ccccc3)N=C2Cc2ccc3c(c2)CC(=O)N3)c1,-10.3,0.5569999999999999,3.16127181462889,-12.2
FN(C(=O)c1ccccc1F)c1nc([C@H]2CCCN(C(=O)c3ccccn3)C2)nc2cccc(F)c12,-12.0,0.46099999999999997,3.3171403894939377,-10.3
Fc1ccccc1CN1CC[C@@H](c2cccc(OCc3ccccc3C)n2)c2ccccc21,-9.9,0.417,2.899234203549834,-12.1
[C@H]1c2cccc(OCC(=O)Nc3ccccc3)c2C(=O)N1[C@H]1CCN(c2ccc(Cl)cc2)N1,-10.1,0.659,3.4069960393944,-11.8
Fc1ccc(-c2ncc([C@@H]3CCCN3C(=O)c3ccccc3)o2)c(N2CCOCC2)c1,-9.4,0.709,2.9752931650543,-12.2
[N+]1=C[C@@H](c2ccc(O)cc2F)[C@H](N2C(=O)/C(=C/c3ccc(-c4ccccc4[N+](=O)[O-])cc3)CC2=O)O1,-10.3,0.33299999999999996,4.124949435002744,-11.2
FC(F)Cc1ccc(-c2cc(/C=C3\C(=O)N(Cc4cccnc4)C3=O)ccc2Cl)cc1,-9.7,0.383,2.468736570735264,-11.6
[N+]1=N/C(=C/c2ccc(-c3ccccc3)o2)C(=O)N1c1ccccc1,-8.9,0.765,2.907018502798252,-12.3
[N+]([O-])=C[C@H]1[C@@H](c2ccc(Oc3nc4ccccc4[nH]3)cc2)C(=S)N1c1ccccc1,-9.6,0.305,3.796360630182198,-11.4
[N+]1=NN(C(=O)CN2CCC(c3c[nH]c4cc(F)ccc34)CC2)C(=O)N1c1ccc(F)cc1,-9.8,0.754,3.230407060121689,-11.1
F[N+]([O-])=C(/C(=O)Nc1cccc2cc[nH]c12)c1ccc2ccccc2c1,-9.5,0.33299999999999996,2.82154025869443,-11.4
FC(F)(F)c1cc(F)ccc1Nc1ccc2cc(S(=O)(=O)N3CCOCC3)ccc2c1,-9.7,0.658,2.3075684250878084,-11.1
[NH+](CCN1CCN(c2ccccc2C(=O)Nc2ccccc2)CC1)N1CCN(c2ccccc2F)CC1,-10.4,0.575,2.821611058945738,-10.2
