smiles,egfr,qed,sa,her2
[C@@]1(CCc2cccc3ccccc23)[C@@H](C(=O)NCCc2c[nH]c3ccccc23)c2ccccc21,-11.0,0.383,2.98770746874984,-12.4
[C@@](C#Cc1nc2ccccc2c(=O)n1[C@@H]1CCCCC1=O)c1ccc(C(F)(F)F)cc1,-10.5,0.648,3.468737893402875,-12.2
[C@@](C#Cc1ccc(C(=O)Nc2ccccc2C(F)(F)F)cc1)C(=O)Nc1cnccn1,-10.3,0.707,2.769012444861138,-11.8
Fc1cc(-c2nc(C[C@@H](C(=O)c3ccc(Cl)cc3)C(F)F)ccc2F)c(Cl)cc1Cl,-9.7,0.292,3.1688607809558613,-12.2
c1cccc2c1Nc1cc(CNS(C)(=O)=O)cc(-c3ccc4c(c3)OCCO4)c12,-9.9,0.618,2.4571418445981497,-11.9
[C@]1(c2cc(F)cc(F)c2)NC(=O)N1c1ccc(CC(=O)Nc2cccc(C#N)c2)cc1,-9.4,0.736,2.588269787518481,-12.2
n1cc(C(=O)NCc2ccccc2CNC(=O)c2ccc(F)cc2Cl)ccc1N1CCCC1,-10.1,0.623,2.173848656734153,-11.5
c1ccc(-n2ccc(C(=O)N3CCC[C@H](c4nnnn4C4CCCCC4)C3)n2)cc1,-10.0,0.745,3.0137522116955786,-11.5
[C@@](C#Cc1nc2ccccc2n1-c1ccc(F)cc1F)c1nc(C2CCCC2)oc1N1CCCC1,-11.1,0.422,3.21768389101935,-10.4
[C@]1(Cc2ccc(C(N)=O)cc2)c2ccccc2-c2ccccc21,-9.7,0.861,2.143963883191974,-11.7
[C@](C#Cc1ccccc1)NC(=O)c1cc(-c2ccc(F)cc2)nc2ncncc21,-9.8,0.515,2.850184197539326,-11.6
[C@]1(C)[C@H](CCNC(=O)S[C@@H](c2cc3ccccc3cc2)NC(=O)Cn2ccc(=O)[nH]c2=O)c2ccccc21,-10.5,0.379,3.900939567282009,-10.8
[C@@]1(C(=O)N2CCC(CNC(=O)c3ccccc3)CC2)NCc2ccccc21,-9.5,0.958,2.4219680261028707,-11.8
[C@@](O)(c1ccc(=O)n(Cc2ccccc2)n1)[C@H]1CCCc2ccccc21,-9.5,0.865,2.8251432891279595,-11.7
[C@@](O)(C(=O)NCc1ccn(-c2ccccc2)n1)c1ccc(C(=O)NCc2ccccc2)cc1,-9.8,0.472,2.3443025838596583,-11.2
[C@](O)(c1ccc(C#N)cc1)c1nnc(-c2ccc3ccccc3c2)o1,-9.3,0.694,2.40948727411131,-11.6
[C@@](C#CN(C)c1ncnc2c1cc(CC(N)=O)c1ccccc12)c1ccc(S(N)=O)cc1,-9.8,0.36,3.985186875868129,-11.0
c1ccc(-c2ccccc2C[NH2+][C@H]2CCN(c3ccc(F)cc3)C2)cc1,-9.1,0.823,3.1206798131302715,-11.7
Fc1ccc(-c2noc(C3CCN(c4nc5ccccc5[nH]4)CC3)n2)cc1,-9.2,0.6719999999999999,2.2998426926072533,-11.6
[C@@](C#COc1ccc(NC(=O)c2ccc(Cl)c(Cl)c2)cc1[N+](=O)[O-])c1ccc2[nH]ncc2c1,-9.9,0.303,2.9934063481804447,-10.8
[C@@]([C@H]1CCCCN1C(=O)c1cccc(F)c1)c1cc2ccccc2[nH]1,-9.4,0.836,3.056624064735621,-11.3
FC(F)(F)c1ccnc(SC[C@H]2CCCN(c3ccc(-c4ccccn4)cn3)C2)c1,-9.3,0.575,3.0571855917212103,-11.4
[C@@]1(COc2ccc3ccccc3n2)OC[C@H]1C(=O)NCCC1=c2ccccc2=[NH+]C1,-9.2,0.658,4.069339419992899,-11.4
[C@@]1(Cc2cnc(-c3cccnc3)nc2CN2CCO[C@H]3CCC[C@@H]32)Cc2ccccc21,-10.5,0.715,3.780287971923915,-10.1
FC(F)(F)c1ccccc1C(=O)Nc1cccc(-c2nc3ccccc3o2)c1,-9.6,0.57,2.015615429278048,-11.0
c1cccc(Cn2ncc3c(-c4ccc(Cl)cc4)noc3C2)c1,-9.3,0.7989999999999999,2.745364433607317,-11.2
[C@]1(c2ccccc2)NN(c2ccccc2)[C@H]1c1ccc(F)c(F)c1,-9.8,0.838,2.7955106001841017,-10.7
[C@](O)(c1ccccc1)[C@@H]1C(=O)NCCN1C(=O)c1ccc(C(C)C)cc1,-10.0,0.87,2.8913763959994565,-10.5
[C@@](C1CCCCC1)[n+]1c(-c2ccc(F)cc2)sc2nc3ccccc3n12,-10.1,0.5429999999999999,3.1847549639891355,-10.4
[C@@](C#Cc1ccc2ccccc2c1)NC1CC[NH+](Cc2ccc(F)cc2)CC1,-9.3,0.612,3.665123021956452,-11.2
Fc1cccc(Oc2ccccc2C[NH2+][C@H]2c3ccccc3C2=O)c1,-9.4,0.854,3.28062258949853,-11.1
[C@@](C#Cc1ccccc1Cl)NC(=O)c1cc(-c2ccc(Cl)s2)nn1Cc1ccccc1,-9.8,0.38,2.916996011294705,-10.6
[C@@]1(CNC(=O)C2=c3ccccc3=[NH+]C2)[C@@H](c2ccccc2)N2CCO[C@@H]12,-9.4,0.7999999999999999,4.408525452542034,-11.0
FC(F)(F)c1cccc(C[NH+]2CCCC[C@@H]2c2noc3ccccc23)c1,-9.5,0.839,4.057730303690886,-10.8
[C@](C#CCn1nnc(-c2ccccc2F)n1)C(=O)N1CCC2(CC1)OCCCO2,-9.1,0.8069999999999999,3.802849259408912,-11.2
[C@@]1(c2nnc(-c3ccccc3)o2)CCCN(Cc2ccccc2Cl)C1,-8.7,0.767,2.386926911852319,-11.6
Fc1ccc(-n2cc(Cl)cc(C(=O)/C=C/c3ccc(Cl)cc3)c2=O)cc1,-9.9,0.536,2.2517468761865267,-10.3
[C@@]1(Cc2ccc(C(N)=O)cc2)N=N[C@@H](c2ccc(Cl)cc2)N1Cc1cccc[nH+]1,-9.5,0.753,3.994333926506518,-10.7
c1cccc(C(=O)N2CCC[C@@H](c3nc4ccccc4[nH]3)C2)c1,-9.5,0.866,2.3436679570153647,-10.6
c1nn(Cc2ccc(C(=O)N(C)CCCc3ccc4c(c3)OCO4)cc2)c2ccccc12,-9.5,0.515,2.293607896242092,-10.6
[C@@]1(/N=C/c2ccc(/C=C/C(=O)OCc3cc4ccccc4[nH]3)cc2)N(c2ccccc2)C1=O,-9.1,0.27499999999999997,3.170543164691785,-11.0
[C@@](C#CC[C@@H]1CCC[NH+]1CCN1C(=O)c2ccccc2C(=O)N1)SCc1nc2ccccc2s1,-9.3,0.38899999999999996,4.698263291265625,-10.8
FC(F)(F)c1nc(SCCN2C(=O)c3ccccc32)nc2ccc([N+](=O)[O-])cc12,-9.3,0.345,2.630774323230627,-10.8
Fc1ccc(O)c([C@@H]2CCCN2Cc2nc(-c3ccccc3)no2)c1,-9.4,0.86,2.6382179530390992,-10.7
[C@@](C#Cc1ccc(F)cc1)C(=O)N[C@H](c1ccccc1)c1ccncc1,-9.5,0.817,3.055076892366825,-10.5
[C@@]1(CC2CCN(c3ccccc3NC(=O)NC[C@H]3c4ccccc4OC3)CC2)CCS1,-9.1,0.729,3.253918862433844,-10.9
FC(F)c1ccc(CC(=O)N[C@@H](c2ccccc2Cl)c2ccccn2)cc1,-9.6,0.718,2.688300960829308,-10.4
Fc1ccc(C[NH+]2CCc3ccccc3C2)cc1OC[C@@H]1CCCO1,-9.0,0.882,3.946014553522371,-11.0
N[C@@H]1c2ccccc2-c2cc(C[NH+]3CCC[C@H](OCCC(=O)NCc4ccccc4[N+](=O)[O-])C3)ccc21,-9.5,0.38799999999999996,4.318987414280125,-10.5
O[C@H](CC[C@@]1(c2ccccc2F)NC(=O)N1C[C@@H]1CCCO1)c1nc2ccccc2[nH]1,-9.5,0.621,3.920742153133423,-10.4
[C@]1(Cn2ccc3ccccc32)NC(=O)N(c2ccccc2)C12CCCC2,-9.2,0.814,3.1528856073360654,-10.7
c1cc2c(cc1CN1CCC[C@H](c3n[nH]cc3C(F)(F)F)C1)n2C,-8.6,0.944,3.5640534100724466,-11.3
[C@@]Oc1ccc(NS(=O)(=O)c2ccc(C(=O)c3ccccc3)cc2)cc1S(=O)(=O)NC(N)=O,-9.8,0.49,2.620150428322887,-10.1
[C@@]1(CCCCNC(=O)NCC(c2ccccc2)c2ccccc2)C(C)(C)CO1,-9.1,0.69,2.567375066030186,-10.8
Fc1cc(C(=O)Nc2cnc3c(C(F)(F)F)noc3n2)ccc1Cl,-9.2,0.785,2.7851111256683403,-10.7
FC(F)(F)c1ccc(OCC(=O)N2CCN(Cc3csc(-c4ccc(F)cc4)c3)CC2)cc1,-9.4,0.531,2.3083737786223413,-10.5
c1ccc(-n2nc(C(=O)Oc3ccccc3)nc2SCc2ccccc2F)cc1,-8.9,0.33899999999999997,2.221796867222583,-10.9
[C@@]1(CCc2ccc(Cl)cc2Cl)NC(=O)N(CC(=O)N2CCc3c(Cl)cccc32)C1=O,-9.3,0.751,2.87509436240852,-10.5
FC(F)Oc1cccc(OCc2ccnc(Nc3cc(C(F)(F)F)ccc3Cl)n2)c1,-8.8,0.527,2.427942714056872,-11.0
[C@H]1nc(NC2CCN(C(=O)c3ccc4ccccc4c3)CC2)S1,-9.4,0.902,2.446473412468668,-10.4
[C@]Oc1ccccc1CC(=O)N1CCN(C(=O)C2C[C@@H]2CN2C(=O)C[C@H]2C(=O)c2ccccc2Br)CC1,-9.6,0.443,4.040755613930942,-10.2
[C@@]Oc1cncc(NC(=O)C2CCC(Cc3ccc(F)cc3)CC2)c1O,-8.7,0.9349999999999999,2.806764416698588,-11.1
c1cc2c(cc1O[C@@H](CO)C(=O)Nc1ccc3[nH]c(=O)ccc3c1)C2,-8.4,0.598,2.8932639224806174,-11.3
[C@@]1(C#N)CCC[C@@H]1C1CCN(C(=O)c2ccccc2NC(=O)CCn2c(=O)oc3ccccc32)CC1,-9.8,0.638,3.232264914110472,-9.9
[C@@]1(O)C[C@@H]1C(=O)Nc1ccc(C)c(C(=O)Nc2cccc(C(C)=O)c2)c1,-8.9,0.7999999999999999,2.613535593969152,-10.8
[C@@]1(C[NH2+]c2cc(Cl)cc3ccccc23)C[C@H]1CC(=O)NCc1ccccc1,-8.8,0.6799999999999999,3.5385896948800672,-10.9
FC(F)(F)c1ccc(SCc2nc(-c3ccc4c(c3)OCO4)no2)cc1,-8.4,0.688,2.314772874079045,-11.3
FC(F)c1cccc(C(=O)NCC[NH+]2CCN(c3nccn3Cc3ccccc3)CC2)c1,-9.3,0.644,3.378480849095688,-10.4
[P@@]C1=Nc2ccccc2C2=C1C[C@@H](c1ccccc1)N2,-8.9,0.76,3.255769322634133,-10.8
n1ccc(-c2cncc(C(=O)Nc3cccc(C(F)(F)F)c3)n2)cc1,-8.4,0.864,2.170899556870033,-11.3
c1ccc(-c2nnc(SCc3csnn3)nc2-c2ccc(F)cc2)cc1,-9.0,0.5549999999999999,2.4753625563967283,-10.7
Fc1ccccc1-c1cc(/C=C/c2ccc(S(=O)(=O)[O-])cc2)on1,-8.6,0.756,2.6793382338542706,-11.1
