smiles,egfr,qed,sa,her2
[C@H](c1cc(C(F)(F)F)ccc1OC(=O)[C@@H]1CC[C@H](c2ccccc2)[NH2+]1)c1ccccc1,-10.2,0.5569999999999999,3.959849468564281,-11.9
Cc1ccc(-c2cc(C(=O)Nc3cccc(C(=O)[O-])c3)ccc2F)cc1C,-9.6,0.849,2.221797346453405,-12.4
[C@]1(c2ccccc2)[C@H](C(=O)NCCC2=c3ccccc3=[NH+]C2)N1C(=O)c1ccc(F)cc1,-10.8,0.636,4.022133107491648,-11.2
[C@H]Oc1cccc(-c2cccc(CNC(=O)c3ccc(-c4cnn(C)c4)cc3)c2)c1,-10.1,0.593,2.3908862343297024,-11.5
[C@](O)(c1nc2ccccc2n1CC(=O)NCc1nc(C2CCCC2)n[nH]1)[C@@H]1COc2ccccc2O1,-10.2,0.445,3.428679338582951,-11.2
[C@H]1c2ccc(C(=O)Nc3nc(Cc4ccccc4Cl)c[nH]3)cc2NC1=O,-9.3,0.742,3.1015944125405843,-11.9
[C@](C#Cc1nc(-c2ccccc2)no1)c1cc(F)ccc1Oc1ccccc1,-9.3,0.5479999999999999,2.727955274041719,-11.9
[C@]1(COc2ccc(Cl)cc2)NC(=O)N(c2ccc3c(c2)CCCC3)c2ccccc21,-9.7,0.642,2.558596760010918,-11.5
[C@H]1CCN(c2cccc(NC(=O)CCN3C(=O)/C(=N\O)c4ccccc43)c2)C1,-9.5,0.7,2.675204125859244,-11.6
[C@]1(CCc2cccc(OCc3ccccc3Cl)c2)NC(=O)c2cccnc21,-9.4,0.764,2.501814764174925,-11.7
[C@H](CCNNC(=O)c1cn(Cc2ccccc2)nc1-c1ccccc1)c1nc2ccccc2[nH]1,-9.5,0.311,2.7333559591404573,-11.3
[C@]Oc1nc2ccc(NC(=O)C(=O)N[C@@H]3CCc4cc(F)ccc4C3)cc2nc1C,-9.3,0.734,3.312508687367957,-11.5
NNC(=O)c1ccc(NC(=O)N2CCC[C@H](c3nc4ccccc4s3)C2)cc1,-10.1,0.44,2.6260507865221925,-10.7
[C@H]Oc1ccc(-c2ccccc2NC(=O)NCC2CCN(C(=O)C3CC3)CC2)c(C)c1,-9.2,0.8049999999999999,2.590878528777223,-11.6
[C@](Cc1ccccc1)[C@H]1Oc2ccccc2NN1C(=O)Cn1nc2ccccc2n1,-10.2,0.639,3.5072742514535733,-10.6
[C@]1(c2ccccc2)NC(=O)N(Cc2csc(-c3ccccc3F)n2)C1,-9.4,0.85,2.62376124671405,-11.3
[C@H](c1ccc(-c2cncc3ccccc23)cc1)[C@H](C[NH3+])c1ccccc1,-9.0,0.653,3.1766524405029006,-11.7
[C@H]1C(=O)c2ccccc2C(C(N)=O)=C1\C=C\c1cccc([N+](=O)[O-])c1,-9.6,0.766,2.780947499912905,-11.0
[C@H](C)c1c(C(=O)N2CCC[C@H](C(=O)NCCc3ccccc3)C2)cccc1NC(=O)c1ccc(F)cc1,-10.5,0.5439999999999999,2.89165792555357,-10.1
[C@H]1C(=O)N2CCCC[C@@H]2C(=O)N1c1cc(-c2ccccc2)ccn1,-9.4,0.9349999999999999,3.142236094689597,-11.2
N#Cc1cccc2c1N[C@@H](c1ccccc1)[C@@H]2C(=O)NC1CCC(c2ccccc2)CC1,-10.3,0.652,3.254918340583881,-10.2
