smiles,qed,sa,egfr,her2,dual_docking
C[C@@H]1O[C@@H](C)C(N(C)C)C(COCc2ccccc2)(c2[nH]cc[nH+]2)C1CN1C[C@H](C)O[C@@H](C)C1,0.6415,5.0,-8.0,-8.4,-8.2
Cc1cccc(OCC(C)C(=O)N2CCC(C=O)(Cc3cccc(F)c3F)C[C@H]2C)c1,0.5982,4.8,-8.1,-7.5,-7.8
CC(C)c1cc2c(CC(=O)Nc3c(F)cccc3C[C@@H]3CCCO3)coc2cc1N1C[C@H](C)O[C@@H](C)C1,0.411,5.0,-8.0,-7.5,-7.75
C[C@@H](O)C1C[NH2+]CCC1C1CN(c2cc(S(=O)(=O)c3noc(CCc4ccco4)n3)ccc2Cl)CCO1,0.4286,5.0,-7.8,-7.7,-7.75
CC(C)=C(NC[C@H]1CC(N2CC[NH+](C)C(N3CCOC[C@@H]3C3CC3)C2)CO1)c1ccc2cccnc2c1,0.5994,5.0,-8.0,-7.0,-7.5
CC(C)c1cc2c(CC(=O)Nc3c(F)cccc3C[C@@H]3CCCO3)coc2cc1N1C[CH]O[C@@H](C)C1,0.4384,5.0,-7.5,-7.5,-7.5
C[C@H]1CN(c2cc3occ(CC(=O)Nc4c(F)cccc4C[C@@H]4CCCO4)c3cc2C(C)(C)C)C[C@H](C)O1,0.4067,5.0,-7.8,-7.2,-7.5
C[C@@H]1CC(C2(C3C[C@H](C)O[C@@H](C)C3)OCCNC2[C@@H](C)Sc2ccccn2)C[C@@H](C)O1,0.6594,4.3,-7.4,-7.5,-7.45
Cc1ccc(NS(=O)(=O)N2CCCC(NCc3ccc(Cl)c([C@@H]4CCC[NH2+]C4)c3)C2)c(Cl)c1,0.5302,5.0,-7.9,-6.9,-7.4
Oc1ccc(Cl)cc1C1C[NH2+]CCN1C1(c2c[nH]c3c(CBr)cccc23)CCNC1,0.4246,4.6,-7.6,-7.1,-7.35
Oc1ccc(Cl)cc1C1C[NH2+]CCN1C1(c2c[nH]c3ccccc23)CCNC1,0.5481,3.8,-7.2,-7.4,-7.3
