smiles,qed,sa,egfr,her2,dual_docking
COC(C)CC(COc1ccccc1C)n1cnc2ccc(COc3cccc(F)c3)cc21,0.2937,5.0,-7.9,-8.0,-7.95
CC(C)(C)[NH2+]Cc1ccc2c(c1)C[C@H](Cn1cc(-c3cccc4nc[nH]c34)c3ccccc31)O2,0.3928,5.0,-8.3,-7.3,-7.8
Cc1ccc(OCC(F)COc2ccc3oc(-c4ccc(F)cc4)cc3c2)cc1,0.3663,5.0,-7.8,-7.6,-7.7
O=C(Cc1ccc(Br)c(-c2cscc2-c2ccc(F)c([C@@H]3CCS(=O)(=O)C3)c2)c1)NC(=O)c1ccco1,0.2934,5.0,-8.2,-7.2,-7.7
Cc1ccc2c(c1)C[C@H](Cn1cc(-c3cc([C@@H]4CCCO4)cc4nc[nH]c34)c3ccccc31)O2,0.3479,5.0,-8.2,-7.1,-7.65
Cc1ccc2c(c1)C[C@H](Cn1cc(-c3cccc4nc[nH]c34)c3ccccc31)O2,0.4499,3.7,-8.3,-6.8,-7.55
Cc1ccc(OC2[C@H](CCc3ccc(O)cc3)O[C@H](C)CN2C(=O)C(C)c2c(F)cccc2Cl)cc1C,0.3793,5.0,-8.0,-6.9,-7.45
Cc1cc(OCC2CC[C@@H]3CO[C@@H](c4cc(C5([NH2+])CC5)c(Cl)cc4F)CN23)cc(C)c1N1CCO[C@@H](C)C1,0.5878,5.0,-7.8,-7.1,-7.45
NC(=O)Nc1ncccc1C1CC(c2nc(C3CC3C=O)no2)CC(N2CCCc3ccccc32)C1,0.5015,5.0,-7.8,-7.1,-7.45
CNN1CCC2(OCC(Cc3ccncc3-c3cnn(C)c3)O2)C(C(=O)NC2CCCCCC2)C1,0.611,5.0,-7.6,-7.2,-7.4
Cc1ccc(OC2[C@H](C)O[C@H](C)CN2C(=O)C(C)(N[C@@H](C)C(C)C)c2c(F)cccc2Cl)cc1C,0.5032,5.0,-7.5,-7.3,-7.4
O=C(NNc1cc(F)cc(F)c1)N(CCCc1ccc(Br)cc1)N1CCC2(CC1)OCCO2,0.5234,5.0,-7.4,-7.2,-7.3
Cc1cc(-c2nc(C)c(C)s2)cc(C(=O)NN(C)C(CC#N)C2(O)CCCC2)c1-c1c(C)noc1C,0.4239,5.0,-7.7,-6.9,-7.3
Cc1nc(-c2ccc(OCCc3cncc(NC4CCCCCCC4)c3)c(O)c2)no1,0.534,5.0,-7.5,-7.1,-7.3
c1ccc2c(c1)C[C@H](Cn1cc(-c3cccc4nc[nH]c34)c3ccccc31)O2,0.4781,3.7,-7.9,-6.6,-7.25
COc1cccc(CC2CC2[CH]ONC(=O)c2coc(-c3nc4c(s3)CCCC4)c2)c1,0.5026,5.0,-7.7,-6.8,-7.25
ClC(Cl)(Cl)C1O[CH]CC1Nc1cc2c(c(Cc3ccc4c(c3)OCO4)c1)CCC2,0.6121,4.6,-7.3,-7.2,-7.25
CCc1noc(CC)c1CC(C)[NH2+]C1CCCCc2nnc(N(S)C3C[C@@H](C)C[C@H](C)C3)n21,0.5573,5.0,-7.3,-7.2,-7.25
CN(C1C[NH+](C)C(c2cccn2C)CN1OCC1(O)CCCCC1)C1(N2CCCCCC2)CCCCC1,0.5824,5.0,-7.5,-7.0,-7.25
C[NH+][C@@H]1CC(C2CCOC(c3n[nH]c4ccccc34)C2)[C@@H](NC=Cc2ccccc2)C1,0.5769,5.0,-6.6,-7.8,-7.2
COc1cccc(N(C=O)c2cc(C)cc(N3Cc4ccccc4CC3(C#CCO)C(C)(C)OC)c2)c1,0.3662,5.0,-7.6,-6.8,-7.2
