smiles,qed,sa,egfr,her2
Cc1nc(N[C@@H](C)C(=O)Nc2ccc3c4c(cccc24)CC3)nc2ccccc12,0.54,5.0000,-10.0,-11.9
COc1ccc2c(c1)CCN(c1cccc(C(=O)NNc3nc4c(F)cccc4[nH]3)n1)CC2,0.4066,5.0000,-10.7,-10.9
O=C(CN1C(=O)C(=O)N(Cc2ccc(Cl)cc2)C1=O)c1ccc2ccccc2c1,0.3679,5.0000,-9.8,-11.1
CC(=O)N1CCc2cc(C(=O)Nc3cc4c(cc3Cl)NC(=O)N(C)C4=O)ccc21,0.6716,5.0000,-10.3,-10.5
Cc1ccc(C(=O)Nc2sc3c(c2C(N)=O)CCN(C(=O)Nc2ccccc2)CC3)cc1,0.5609,5.0000,-9.7,-10.6
Cc1cc(C(=O)CN2C(=O)N[C@]3(CCc4ccccc43)C2=O)c(C)n1Cc1ccccc1,0.4982,5.0000,-10.1,-10.2
Cc1nnnn1-c1cccc(NC(=O)c2c(F)cc(NC(=O)c3ccco3)cc2)c1,0.5259,5.0000,-9.8,-10.3
O=C(CN1C(=O)NC2(CCC1)Oc1ccc(C(F)(F)F)cc1C2)N1CCCCC1,0.8134,5.0000,-9.3,-10.5
CCOc1ccc([C@H](C)NC(=O)Nc2nnc([C@H]3CC(=O)N(c4cccc(Cl)c4)C3)s2)cc1,0.4909,5.0000,-9.4,-10.4
Cc1cccc(-n2c(SCC(=O)N[C@H](C)c3ccccc3)nc3ccccc3c2=O)n1,0.3688,5.0000,-10.1,-9.7
COc1ccccc1NC(=O)c1cccc(N2C(=O)C(=O)c3ccccc32)c1,0.7069,5.0000,-9.7,-10.0
CCn1c2ccccc2c2cc(NC(=O)C[NH+]3CCCN(C(N)=O)CC3)ccc21,0.6253,5.0000,-9.1,-10.6
CCOc1ccc([N-]S(=O)(=O)c2cccc(C(=O)Nc3cccc4cnccc34)c2)cc1,0.4163,5.0000,-9.6,-10.0
