smiles,qed,sa,egfr,her2
COc1cccc(Cn2ccc3c(cnc4nc(-c5ccc(C)cc5)n4n3)CC2)c1O,0.5482,5.0000,-10.1,-10.9
c1cc2c(cc1-c1noc(-c3ccccc3F)n1)O[C@H](C(=O)NC1CCCC1)N2,0.7009,5.0000,-9.6,-11.1
CC[C@H](C)n1c([C@@H]2CC(=O)N(c3ccc4ccccc4c3)C2)nc2ccccc21,0.4545,5.0000,-9.5,-11.0
O=c1c2ccc(C(F)(F)F)cc2o/c(=N\S(=O)(=O)c2ccccc2)n1-c1ccc([N+](=O)[O-])cc1,0.3159,5.0000,-10.8,-9.2
Cc1ccc(-c2nc(C(=O)NC[C@H]3C[C@@H]3c3ccc4c(c3)OCCO4)co2)cc1,0.714,5.0000,-9.3,-10.6
O=C(NCc1ncn(-c2ccccc2)n1)C1CCN(S(=O)(=O)c2ccc3c(c2)OCCO3)CC1,0.5679,5.0000,-9.6,-10.1
C=C1c2ccccc2C(=O)N1CCn1c(-c2cc(C)cc(F)c2)n[nH]1,0.7932,5.0000,-9.2,-10.4
C=C1c2ccccc2C(=O)N1CN(C)C(=O)CSc1nnnn1-c1ccc(F)cc1,0.5654,5.0000,-9.1,-10.5
CC(=O)N[C@H](CC(=O)N[C@H](c1ccccc1)c1ccccc1F)c1ccc(F)c(F)c1,0.5813,5.0000,-10.4,-9.0
C[C@@H](NC(=O)C(=O)Nc1ccc(Cl)cc1C(=O)c1ccccc1)c1cccnc1,0.4973,5.0000,-9.0,-10.3
Cc1c(O[C@@H](C)C(=O)NCc2ccc(Cl)c(S(N)(=O)=O)c2)c(=O)oc2ccccc12,0.5549,4.9546,-8.8,-10.4
O=C(Nc1ccc(C(=O)NNC(=O)c2ccc(F)cc2F)cc1)c1ccc(Cl)cc1,0.5488,5.0000,-8.9,-10.3
COc1ccc(-c2cc3c(N4CCN(C(=O)c5ccccc5)CC4)ncnc3s2)cc1,0.4824,5.0000,-9.7,-9.5
COc1ccc(Cl)cc1-c1nnc(NC(=O)c2cc(C)cc(C)c2)o1,0.7541,5.0000,-9.2,-10.0
C[C@@H](Sc1nnc(Cc2ccccc2)s1)C(=O)N1c2ccccc2C[C@@H]1C,0.5931,5.0000,-9.0,-10.1
CC(C)(C)c1ccc(OCC(=O)N2CCC(n3c(=O)[nH]c4ccccc43)CC2)cc1,0.7139,5.0000,-9.1,-9.9
CC(=O)c1ccc(N2CCN(C(=O)C[C@H]3C(=O)O[C@@H]4CCCC[C@@H]43)C2)cc1,0.602,5.0000,-9.2,-9.7
Cc1ccccc1[C@H]1[C@@H]2C(=O)N(c3cccc(Cl)c3)C(=O)[C@H]2[C@@H]2CCC[NH+]21,0.8122,5.0000,-9.9,-8.9
O=c1[nH]nc(SCc2cccc3ccccc23)n1-c1ccc(F)cc1,0.5622,5.0000,-9.0,-9.8
C[C@@H](Oc1ccc(-c2ccccc2)cc1)C(=O)N(C)c1ccc(C#N)cc1,0.6682,4.8975,-8.7,-10.1
Cc1cccc(Nc2ncnc(Nc3cccc(C(=O)[O-])c3)c2[N+](=O)[O-])n1,0.4938,4.9648,-8.9,-9.8
C[C@@H]([NH2+]C1CCN(C(=O)C(=O)NC(C)(C)C)CC1)c1ccc(-c2ccccc2)cc1,0.7643,5.0000,-9.3,-9.4
NC(=O)c1cc(NCCNC(=O)Cn2c(=O)c(C(F)(F)F)c3cnccc3n2)ccc1F,0.3656,4.9042,-9.1,-9.6
O=C(COc1ccc(NC(=O)c2c[nH]c3ccccc23)cc1)c1ccccc1,0.4841,5.0000,-8.8,-9.8
O=C(NN[C@@H](CC(F)(F)F)c1ccccc1)c1ccc2c(c1)OCCCO2,0.7755,4.8722,-9.1,-9.5
CCN(c1ccccc1)S(=O)(=O)c1ccc(CN2C(=O)NC3(CCC(C)CC3)C2=O)cc1,0.6695,5.0000,-9.5,-9.1
CCC[C@H](C)NC(=O)[C@@H]1COCCN1C(=O)N1CCN(c2ccccc2C)CC1,0.8205,5.0000,-9.0,-9.6
C[C@H]1c2cccn2CCN1CCn1nc(-c2ccc(Cl)cc2)ccc1=O,0.7081,5.0000,-8.9,-9.6
COc1ccc(C(=O)NC(=S)Nc2ccc3c(c2)C(=O)N(C)C3=O)cc1Br,0.555,4.9934,-8.9,-9.6
C[NH+](C1CCN(Cc2ccc(C(N)=O)cc2)CC1)S(=O)(=O)c1ccc(F)cc1,0.743,5.0000,-8.8,-9.6
O=C(c1ccccc1)N1N=C(c2ccc(C3CCCCC3)c([N+](=O)[O-])c2)CC1,0.562,5.0000,-9.4,-9.0
COc1ccc2nc(NC3CCN(C(=O)c4c([O-])noc4C)CC3)cc(=O)n2c1,0.6838,5.0000,-8.6,-9.8
Cc1cc(NC(=O)c2c(C)nn(-c3ccccc3)c2C)sc1C(=O)N[C@H](C)C(N)=O,0.5624,4.8908,-8.9,-9.5
Cc1cc(CN2CCN(C(=O)C3CC[NH+](Cc4ccncc4)CC3)CC2)no1,0.8141,5.0000,-8.8,-9.5
O=C(c1cncc(C(F)(F)F)n1)N1CCN(Cc2csc(-c3ccccc3)n2)CC1,0.6296,5.0000,-8.7,-9.6
C[C@@H](NC(=O)NCc1cccc2ccccc12)c1ccccc1,0.7367,5.0000,-8.6,-9.6
C[C@H]1C[C@@H](Sc2nc3ccccc3n2CC(=O)Nc2ccccc2)C[C@H](c2ccccc2)O1,0.3814,5.0000,-9.2,-9.0
CCc1nn2c(c1-c1ccc(Cl)cc1)NC(=O)[C@H]2CC(=O)Nc1ccc(F)cc1OCCOC,0.4356,5.0000,-8.5,-9.7
CN(Cc1ccccc1Cl)C(=O)[C@H]1CC(c2ccc(Cl)cc2)=NO1,0.8192,4.8513,-8.6,-9.5
O=C(N/N=C\c1cc2ccccc2[nH]c1=O)c1ccccc1OC(F)F,0.544,4.8492,-8.6,-9.5
CN(Cc1ccc[nH]1)C(=O)N[C@H]1C[C@@H]1c1cccc2ccccc12,0.7534,5.0000,-8.8,-9.3
COc1ccc([C@@H]2C(C(C)=O)=C([O-])C(=O)N2CCOc2ccc(C(N)=O)cc2)cc1,0.693,4.9511,-9.1,-9.0
CCn1c(SCC(=O)N2CCN(c3cccc(C)c3C)CC2)nnc1-c1ccccc1Cl,0.4906,5.0000,-8.3,-9.8
Cc1ccc([C@@H](CNS(=O)(=O)c2ccc(F)c(C)c2)NC(N)=O)cc1,0.7308,4.3527,-9.0,-9.1
Cc1nc(NCCS(=O)(=O)/C=C/c2ccccc2)c2ccccc2[nH+]1,0.7386,4.7862,-8.5,-9.6
COc1ccc(NC(=O)CN(C)C(=O)c2cnc3c(C)cccc3c2C)c([N+](=O)[O-])c1,0.4804,5.0000,-8.7,-9.4
COc1cccc([C@@H]2CC(=O)Nc3c2c(C)nn3-c2nc3ccccc3s2)c1OC,0.5331,5.0000,-8.9,-9.2
O=C(CN1CCN(S(=O)(=O)c2ccc(Cl)c(Cl)c2)CC1)NCc1ccc(F)cc1,0.7202,5.0000,-8.6,-9.4
C[C@@H](NC(=O)Cn1c(=O)oc2ccccc21)c1ccc(-n2cncn2)cc1,0.5855,5.0000,-8.6,-9.4
COc1ccc(CNC(=O)Cn2cnc3c(s2)-c2ccccc2C3=O)cc1,0.5783,5.0000,-8.4,-9.6
CC1=NC(C)=C(C(=O)N2CCCCC2)[C@H]1c1ccc(OCc2ccccc2)cc1,0.7142,5.0000,-9.1,-8.8
O=C(Cc1cccc(F)c1)NCC(=O)Nc1ccc(Oc2ccccc2)cc1,0.6549,5.0000,-8.8,-9.1
COc1cccc(C(=O)N/N=C/c2ccc(-c3cccc([N+](=O)[O-])c3)o2)c1O,0.3829,4.8746,-8.6,-9.3
Cc1cccc(C(C)C)c1NC(=O)[C@H](C)Nc1ccc(N2CCCC2)c(F)c1,0.7116,5.0000,-8.4,-9.4
CCn1c(CN2CCCCCC2=O)nnc1SCC(=O)Nc1cc(C)ccc1C,0.6997,5.0000,-8.6,-9.2
COc1ccc(CC(=O)N[C@@H](C)c2ccc(-c3ccncc3)cc2)cc1OC,0.6718,5.0000,-8.7,-9.1
CC1=C(C(=O)OC[C@H](O)c2ccccc2Cl)Oc2ccccc2C1=O,0.7203,4.9496,-8.6,-9.2
CC(=O)N1CCN(C(=O)c2nn(-c3ccc(C(F)(F)F)cc3)c(=O)n2C2CCCC2)CC1,0.7183,5.0000,-9.2,-8.6
Cc1cc(Cl)cc2sc(OC3CCN(C(=O)c4ccoc4)CC3)nc12,0.6732,5.0000,-8.8,-8.9
O=C(Cc1cnc[nH]c1=O)N1CCC(O)(c2ccccc2F)CC1,0.8771,4.8778,-8.6,-9.1
CC[NH+](CC)CCn1c(CN2CC[NH+](CCc3ccccc3)CC2)nc2c1c(=O)[nH]n2C,0.3755,5.0000,-8.6,-9.1
COc1ccc(C(=O)N/N=C2\CCCc3oc4ccccc4c32)c(OC)c1,0.7123,5.0000,-8.5,-9.2
COc1cc(NC(=O)C2CCN(C(=O)c3cccn3C)CC2)ccc1C,0.9172,5.0000,-8.2,-9.4
COc1ccc([C@H]2CCCN2C(=O)NCC(=O)Nc2c(C)cccc2C)cc1,0.8276,5.0000,-8.6,-9.0
O=C(Nc1ccc([N+](=O)[O-])cc1)[C@@H]1CN(Cc2ccc(F)cc2)CCO1,0.6551,5.0000,-8.4,-9.2
CCOc1ccccc1Oc1ncccc1C(=O)Nc1ccc2c(c1)OCO2,0.6907,5.0000,-9.0,-8.6
Cc1nc(C(=O)N[C@H](CO)CC(c2ccccc2)c2ccccc2)[nH]n1,0.6103,4.8234,-9.0,-8.6
O=S(=O)(c1cccc2nsnc12)c1cnn(-c2ccccc2F)c1,0.5613,5.0000,-8.4,-9.2
Cc1ncsc1CN1CCC[C@@H](c2nnc(Cc3ccccc3)o2)C1,0.6973,5.0000,-8.5,-9.0
CN(Cc1cnccn1)c1nc(-c2ccccc2)nc2c1CCC2,0.74,5.0000,-8.8,-8.7
CN1CCO[C@@H](C(=O)NCc2c(C(=O)N3CCOCC3)nc3ccccn23)C1,0.7787,5.0000,-8.8,-8.7
NC(=O)c1cccc(CNC(=O)c2cc(Cl)ccc2O)c1,0.8071,4.5573,-8.8,-8.7
COc1ccc2sc(N(Cc3ccccc3C)C(=O)N3CCN(c4cccc(C)c4)CC3)nc2c1,0.354,5.0000,-9.7,-7.8
Cc1nc2ccccn2c1C(=O)Nc1ccc(C(=O)NN)c(C)c1,0.3885,4.9510,-8.5,-9.0
