smiles,qed,sa,egfr,her2,true_docking_score
F[C@@]1(O[C@H]2CCCc3ccccc32)CN(Cc2coc(-c3ccccc3)n2)C[C@@H]1c1ccccc1,0.3156,3.757,-11.8,-11.09,
c1cncc2cc(CNC(=O)c3cc(=O)n(-c4cc5ccccc5[nH]4)o3)ccc12,0.4967,2.8773,-9.8,-12.290000000000001,
c1cc(F)c(-n2cc(CN3Cc4ccccc4C3=c3ccccc3=O)o2)c(C2CC2)c1,0.5306,3.2375,-10.3,-11.690000000000001,
Cc1ccccc1COc1c[nH+]cc(NC(=O)c2cc3ccccc3[nH]c2=O)c1,0.5506,2.8573,-10.1,-11.690000000000001,
[NH3+][C@]1(Cc2cc3c(cc2Br)OCO3)[NH2+]C[C@H](c2cc3ccccc3c(=O)[nH]2)N1,0.4673,4.3992,-9.7,-11.89,
c1cc(-c2ccncc2)cc(O[C@@H]2CC[NH+](C[C@@H]3CCC4CCN4S(=O)(=O)c4ccccc43)C[C@@H]2C2CC2)n1,0.5129,4.9847,-10.5,-11.09,
F[C@@H]1N(c2cccc3ccccc23)[C@H](c2nc(-c3ccccc3)c[nH]2)[NH+]=N1,0.5506,3.971,-9.7,-11.89,
c1cc2[nH]c3ccccc3n2cc([C@H]2CCCc3ccccc32)c1,0.765,3.417,-10.3,-10.99,
F[C@H]1[NH2+]N(Cc2ccccc2)C[C@@H]1CCN(Cc1ccccc1)C(=O)c1cccc(C(=O)OCc2ccco2)c1,0.1706,3.7404,-10.0,-11.290000000000001,
F[C@H]1[NH2+][C@@H](c2ccccc2)[C@@]2(c3ccccc32)C(=O)N1C1Cc2ccccc2C1,0.677,4.3814,-10.3,-10.89,
Nn1cc([C@H]2CCS(=O)(=O)c3c2c(-c2ccccc3)nn2C)c2ccccc21,0.757,4.7008,-10.0,-11.190000000000001,
Cc1oncc1C[NH+]1CCC(CC(=O)c2c[nH]c3ccc(C)cc23)CC1,0.6942,3.7412,-9.7,-11.49,
O=C(Cc1cccc(Cc2ccccc2)c1)NCC1=c2ccccc2=[NH+]C1,0.6645,2.8887,-9.8,-11.190000000000001,
F[C@@H]1N(Cc2ccc(SCc3cccnc3)nc2)C[C@H](c2ccc(Cl)cc2)C1S(=O)(=O)c1ccccc1,0.1923,3.7229,-9.6,-11.39,
CS(=O)(=O)Cc1cc(C(=O)Nc2ccc(C(=O)c3ccc(F)cc3)cc2)n2c1CCCCC2,0.5443,2.5305,-9.3,-11.59,
c1c(C[NH+]2CCC(Cc3ccc(F)cc3)CC2)cccc1Oc1cccnc1,0.7015,3.1098,-9.9,-10.99,
Fc1c(NC(=O)c2cccc(-c3ccccn3)c2)cnn1-c1ccccc1,0.5908,2.1973,-9.5,-11.39,
Fc1cc(Br)c(Br)cc1NC(=O)C(=O)CCc1ccc2ccccc2c1,0.3804,2.3133,-9.2,-11.59,
Cc1cc(=O)[nH]c(C)c1C(=O)Nc1ccc(Oc2ccc(C3CCCC3)nc2)cc1,0.6215,2.4445,-9.3,-11.39,
C[C@H](Sc1ccc2ccccc2n1)C(=O)Nc1ccc(OCc2cccnc2)nn1,0.4525,2.8707,-9.4,-11.290000000000001,
N[C@@H](C(=O)Nc1ccccc1)c1cccc(-c2cc3ccccc3o2)n1,0.5836,2.6722,-9.4,-11.190000000000001,
O=[N+]([O-])c1cccc(NC(=O)C2CCN(C(=O)c3ccc(F)cc3F)CC2)c1,0.641,2.0171,-9.3,-11.290000000000001,
c1cc(/C=C2\CC(C(=O)NCc3ccc4c(c3)OCO4)=NC2=O)c([N+](=O)[O-])cc1,0.4731,2.7748,-9.7,-10.89,
N=c1n(Cl)c2ccccc2n1-c1ccc(NCc2ccc(F)cc2)cc1,0.5416,2.4304,-9.6,-10.89,
FC1c2ccccc2C[C@@]1(NCc1nc(-c2ccccc2)no1)C(F)(F)F,0.6853,3.5986,-9.4,-10.99,
F[C@@H]1NN(c2ccc3ccccc3c2)C(=O)[C@@H]1COc1ccccc1,0.7391,3.2404,-9.0,-11.39,
O=c1n(c2ccc(NC(=O)Nc3ccccn3)cc2)c(=O)[nH]c1=O,0.5802,2.1295,-9.8,-10.59,
[NH3+][C@H]1Cc2ccccc2N1c1c[nH+]2c(-c3cccc(F)c3)nnc2s1,0.8435,4.8445,-9.9,-10.49,
