smiles,qed,sa,egfr,her2,true_docking_score
Oc1cc(Cl)cc(OCc2nc(-c3ccc4c(c3)OCCO4)nc3c2c2ccccc2C3)c1,0.3872,2.7471,-11.2,-11.99,
O[C@@H](C=C1CCOCC1)[C@@H]1CCCN(S(=O)(=O)c2ccc3c(c2)CC[C@H](C(=O)N2CCCCC3)C2)C1,0.4902,5.2866,-10.4,-12.190000000000001,
Fc1cc(-c2noc(-c3cccnc3)n2)c(C[NH+]2CCCC[C@@H](CCc3ccccc3)C2)cc1,0.435,3.9166,-10.4,-12.09,
CC[C@@]1(c2ccccc2)NC(=O)N(Cc2cccc(Cn3cc(CNc4ncccc4C(Cl)(F)F)cn3)c2)C1=O,0.1936,3.3299,-10.6,-11.59,
F[C@H]1[C@@H][C@@H](C(=O)N2CCC[C@@H](c3nc4ccccc4[nH]c3=O)C2)CCc2ccc(Cl)cc21,0.5699,3.9443,-9.6,-12.49,
O=C1/C(=C/c2ccc(-c3ccc(F)cc3)o2)C(=O)N(c2cccc(Cl)c2)N=C1C(=O)N1CCCCCCC1,0.3092,2.7409,-9.7,-12.39,
O=C(Oc1ccccc1C(=O)Nc1ccccc1)c1cnc(C[NH+]2Cc3ccccc3C2)s1,0.3427,3.0949,-10.2,-11.89,
O=C1c2ccccc2C(=O)C1=C1CCN(C(=O)c2cc3ccccc3o2)CC1,0.4781,2.3917,-10.0,-11.99,
Fc1cc(/C=C2\CC(C(=O)N3CCOCC3)=NC2=O)nc2c1c1ccccc1C2,0.6292,3.229,-9.6,-12.190000000000001,
NC(=O)c1cccc(CNC(=O)C[C@@H]2CC(=O)N(c3cccc4ccccc34)C2)c1,0.665,2.6462,-9.5,-11.89,
O=C([C@H]1CSCN1C(=O)c1ccco1)Nc1nc2c(c(C(F)(F)F)c1Br)c1ccccc12,0.3962,3.4784,-9.8,-11.49,
[NH3+]c1c(C[NH+]2CCN(Cc3ccccc3)CC2)[nH]nc1-c1cnc2nc(-c3ccccc3)[nH]c2c1,0.3062,3.684,-9.6,-11.690000000000001,
c1n[nH]c2[nH]nc(-c3ccc(C(=O)Nc4ccc(C(F)(F)F)cc4)cc3F)c12,0.4551,2.6361,-9.9,-11.290000000000001,
O=[N+](Cn1cccc1[C@@H]1CC[NH2+]C1)N1CCC(C(=O)N(Cc2ccccc2)c2ccc3c(c2)CCC3)CC1,0.4682,4.1603,-9.3,-11.89,
F[C@@]1(Cc2ccccc2)Cc2ccccc2C[C@H]1[NH2+]Cc1c(F)cccc1F,0.6829,3.7869,-10.0,-11.190000000000001,
[NH3+]Oc1cccc([C@@H]2c3ccccc3OC[C@H]2[C@H]2COc3ccccc32)c1,0.7271,3.7609,-10.5,-10.59,
[NH3+][C@H]1[C@H](C(=O)N[C@@H]2C[C@@H](c3ccc4c(c3)OCO4)[C@@H]2CCO1)c1ccccc1,0.8305,4.7248,-9.3,-11.790000000000001,
F[C@@H]1N[C@@H](c2nc(CCc3ccccc3)[nH]n2)NC(Nc2ccc(F)cc2)C1,0.4916,3.9987,-9.6,-11.49,
c1coc(C[NH+]2CCC[C@H](c3nc4ccccc4c(-c4ccccn4)c3)c2)c1,0.5933,3.9842,-10.2,-10.790000000000001,
FC(F)(F)c1ccc(CN2CCC[C@@H](C(=O)Nc3cccc4c3OC(CC([O-])=O)C4)C2)cc1,0.7155,3.4596,-9.8,-11.09,
c1nn2c(-c3ccccc3C[NH2+]Cc3ccccc3)c3ccccc3nc2c1Cc1cc(F)cc(F)c1,0.3123,3.1619,-11.0,-9.89,
Oc1c(/C=C/c2ccccc2O)oc2cc3ccccc3nc12,0.5693,2.6087,-9.8,-11.09,
O=C1O[C@H](CNC(=O)NC[C@H]2CSCN2C(=O)c2ccc(Cl)cc2)CC12CCN(C(=O)c1ccccc1Cl)CC2,0.4817,4.1541,-9.9,-10.89,
F[C@H]1[C@H]c2ccccc2O[C@@H]2[C@H]1Nc1ccccc1N2C(=O)COc1ccc(Br)cc1Br,0.4445,3.9313,-9.6,-11.190000000000001,
F[C@H]1C[C@@H](c2ccc(Cl)cc2)[C@H]2COc3c(O)cccc3[C@H]2C1,0.7911,3.7978,-10.4,-10.290000000000001,
Cc1csc(Cn2c(=O)n([C@@H](C)C(=O)C(=O)NC(c3ccccc3)c3ccccc3)c3ccccc32)c1C,0.2705,3.287,-9.8,-10.89,
FC1c2ccccc2Oc2ccc(COc3nc(-c4cccs4)no3)cc21,0.4651,3.2671,-9.3,-11.39,
c1nnn(-c2ccccc2)c1-c1cccc(C(=O)Cc2ccccc2[N+](=O)[O-])c1,0.2813,2.294,-9.7,-10.99,
F[C@H]1[NH2+][C@H](Cc2nc(-c3ccccc3)n[nH]2)[C@@H](c2cccc(Br)c2)N1,0.586,4.1586,-9.1,-11.59,
Oc1ccc2c(c1)CCC[C@@H]2[NH2+]Cc1cc2nc3ccccc3nc2s1,0.5842,3.7074,-9.7,-10.89,
O[C@@H]([NH2+]Cc1c[nH]nc1-c1cccc(Cl)c1)c1cnc2ccccc2c1,0.4756,3.6974,-9.7,-10.89,
F[C@@]1(Nc2cc(-c3cccnc3)nnc2-c2nc3ccccc3s2)CCN1Cc1ccco1,0.3437,3.5833,-9.6,-10.99,
F[C@H]1[NH2+]c2ccccc2C[C@H]1S(=O)(=O)c1cccc(NC(=O)c2ccco2)c1,0.5187,3.8099,-9.4,-11.190000000000001,
c1nc(-c2ccc(CO)c(S(=O)(=O)c3ccc(F)cc3)n2)c2c(Cl)cccc2n1,0.4957,2.6551,-9.3,-11.190000000000001,
N[C@H]([C@H]1CCc2ccccc21)[C@H]1CCCN(C(=O)c2ccc(F)c(Cl)c2)C1,0.8499,3.3496,-9.6,-10.89,
Oc1ccc2[nH]cc(CCc3ccccc3)c2c1C(=O)NC1CCCCC1,0.6147,2.2894,-9.8,-10.59,
NOC(=O)c1nccnc1NCC1NCC[C@H]1C/C=C1\CCc2ccccc2C1,0.5115,4.122,-9.6,-10.690000000000001,
