smiles,qed,sa,egfr,her2,true_docking_score
c1nnc3n(-c3ccc4c(c2)OCO4)c(=O)on12,0.5631,5.2336,-11.8,-14.290000000000001,
F[C@@]1(CCc2ccc3c(c2)OCCO3)CCCN1Cc1ccc2c(c1)OCCN2C(=O)C(O)c1cc2ccccc2oc1=O,0.2358,4.0307,-11.2,-12.09,
Fc1cc([C@H]2Oc3ccccc3C[NH+]2Cc2ccc3ccccc3c2)ccc1,0.554,3.7036,-11.3,-11.190000000000001,
Oc1cc(NC(=O)c2c[nH]c3nc(-c4ccccc4)ccc23)ccc1OCc1ccc(F)cc1,0.2985,2.2846,-10.0,-11.89,
F[C@@H]1c2ccccc2C(Cc2ccc3ccccc3c2)N1CCCC(=O)c1ccc(F)cc1,0.2231,3.2554,-10.5,-11.190000000000001,
C#CCCOc1ccc2c(c1)O[C@H](NC(=O)COc1ccc3cc(C)c(C)c(C)c3c1)C2,0.4398,3.3165,-9.6,-11.790000000000001,
Oc1cc([N+](=O)[O-])ccc1OCc1n[nH]c(-c2ccc3ccccc3c2)n1,0.412,2.4262,-9.6,-11.59,
O=c1nnc2cc(-c3ccccc3)ccc2n1C(=O)COC1CCCCC1,0.7097,2.4984,-9.5,-11.49,
Fc1ccccc1-c1nc(C[NH+]2CCC[C@@H]2CNc2ncnc3[nH]ccc23)no1,0.4615,4.3267,-9.9,-10.99,
F[C@@H]1c2ccccc2C[C@@H]1C(=O)N1CCN(c2ccc(Cl)c(Cl)c2)CC1,0.749,3.0518,-9.8,-11.09,
C/N=C(\NCc1ccc(C)cc1)NC(=O)C(=O)Nc1ccc(NC(=O)c2ccco2)cc1,0.2797,2.4176,-9.1,-11.790000000000001,
Cn1nc(-c2ccccc2)c2c1CCN(C(=O)c1ccc(F)cc1)C2,0.7196,2.0697,-9.5,-11.39,
O=C(Nc1ccccc1OCC1CC1)c1cccc(CN2C(=O)c3ccccc3C2=O)c1,0.5637,2.0422,-9.1,-11.690000000000001,
O[C@H](S(=O)(=O)c1ccc2ccccc2c1)c1cc(C(F)(F)F)ccc1C,0.7207,2.7493,-9.3,-11.39,
C[C@@]1(S(=O)(=O)c2ccc(NS(=O)(=O)c3ccc(F)cc3)cc2)CCCN1C(=O)c1ccccc1F,0.5254,3.0409,-9.7,-10.99,
O[C@H](c1ccccc1)c1ccccc1[C@H]1C=C(c2ccc3c(c2)OCO3)C1,0.7094,3.095,-9.8,-10.790000000000001,
Fc1c(Nc2ccc3ncnnc3c2)cccc1NC(=O)C[C@H](O)c1ccccc1,0.4505,2.9148,-9.4,-11.190000000000001,
C[C@@]1(Cc2ccc(F)cc2)CCCN(Cc2[nH+]ccn2Cc2ccccc2F)C1,0.6025,3.6679,-9.3,-11.190000000000001,
