smiles,QED,SA,EGFR_Docking,HER2_Docking
O=C([O-])CCn1ncc2cc(CSc3nc4ccccc4nc3)ccc2c1=O,0.3620,3.8310,-9.4,-10.4
O=C(OC[C@@H]1COCCO1)c1ccc(N2CCCC2)c(Br)c1,0.6630,3.7660,-8.5,-8.9
N#CC(c1ccc(Cl)c(Cl)c1)C(=O)N1CCN(c2ccccc2F)CC1,0.6910,3.6730,-9.1,-7.4
O=C(NCC1CCN(S(=O)(=O)c2ccc(Cl)cc2)CC1)c1ccco1,0.7620,3.0480,-9.1,-9.1
Fc1ccc(-n2cccn2)nc1,0.5360,3.1550,-7.95,-6.7
FN(C#Cc1ccccc1)c1ccc([N+](=O)[O-])cc1,0.1720,3.6470,-8.8,-9.3
FN1CCC[C@@H]1c1ccc(Cl)cc1,0.5270,3.8810,-8.2,-7.5
O=C(CCN1c2ccccc2-c2ccccc21)Nc1ccccc1C(F)(F)F,0.3730,2.9730,-9.9,-11.5
FN1CC[C@H](Nc2ccc(Cl)cc2Br)C1,0.7400,4.1570,-8.4,-7.3
Nc1cc(F)cc(C(=O)N2CCC(c3nc(C(F)(F)F)cn3C(F)F)CC2)c1,0.5180,3.9310,-9.2,-9.7
Fc1ccc(-c2n[nH]c(SCc3ccc(Cl)cc3)n2)cc1,0.6170,3.1010,-9.05,-9.9
FC(F)(F)C(F)(F)C[C@@H](O)c1cc(Br)ccc1Cl,0.6790,4.0850,-8.5,-8.3
Fc1ccccc1-c1ncc(CN2CCN(c3cccc(Cl)c3)CC2)nc1Cl,0.5040,3.3050,-9.45,-9.5
c1ncc(C[NH2+]Cc2ccco2)c2ccc(Br)cc12,0.7040,4.2950,-8.8,-9.3
COc1ccccc1OCC(=O)N(C)CCc1ccc(OC)cc1,0.6470,2.7520,-8.7,-8.8
O=C(CCc1n[nH]c2ccc(Br)cc12)N1CCCCC1,0.8350,3.3170,-9.0,-9.6
c1ccc(CN2CCC[C@@H]2c2nc3ccccc3[nH]2)cc1,0.6870,3.3550,-8.95,-9.9
c1cc(NC[C@@H]2CCCN(c3ncccn3)C2)ccc1,0.8250,3.4250,-8.8,-8.4
c1ccc(-c2noc(-c3cccs3)n2)cc1,0.5740,2.8310,-8.55,-8.9
c1ccc(-c2nnc(NC3CCN(C(=O)NCc4ccco4)C3)o2)c(OC2CCCCC2)c1,0.4470,4.0870,-10.1,-10.7
CCc1nnc(CN(C)CN2CCN(c3ccccc3C(F)F)CC2)s1,0.6360,3.7220,-8.8,-9.4
Cc1nn(C)cc1NC(=O)CN(C)C(=O)c1ccccc1,0.8240,3.0180,-8.6,-8.4
COC(=O)[C@@H](C)NC(=O)[C@H](C)OC(C)C,0.5800,4.0170,-7.75,-6.4
CN(C)c1cc(C(=O)N(C2CC2)c2ccccc2)cc(OC(F)F)c1Cl,0.6200,3.5340,-8.6,-9.0
C[C@@H](NC(=O)Cc1cccc2sccc12)c1ccc(OC(F)F)cc1,0.5770,3.5910,-9.3,-10.1
[C@@H]Oc1ccc(NCCC(=O)NCC(C)C)cc1Cl,0.7080,3.5030,-8.15,-8.4
[C@@H](C(=O)N1CCSC[C@H]1CN1CCOCC1)c1cc(F)c(F)cc1F,0.6550,4.4820,-9.1,-7.6
[C@@H]1CCC[C@@H](Oc2ccccc2)C1,0.5700,3.9240,-8.2,-7.6
[C@@H]#C/C=C/c1cccc([N+](=O)[O-])c1,0.2910,3.5150,-8.1,-7.2
[C@@H]Oc1ccccc1CCNC(=O)NC[C@@H](c1ccco1)C(C)C,0.6780,4.2190,-8.7,-9.3
[C@@H](NCc1ccc2c(c1)CCC2=O)C1CCCC1,0.7780,3.7900,-8.95,-9.5
N#CC[C@@]1(O)CCCN1C(=O)Cc1ccccc1Cl,0.8210,4.2580,-8.7,-7.7
c1cccn1C[C@H]1CCCCN1C(=O)c1ccccc1,0.7390,3.5380,-8.55,-8.1
c1cnc(N2CCC[C@@H](C(=O)N[C@@H](C)Cn3cccn3)C2)cc1,0.8120,3.9820,-8.8,-9.0
c1ccc(C2(NCCOc3ccc(Cl)c(Cl)c3)CCOCC2)cc1,0.6540,3.3280,-9.15,-9.3
c1ccc(N2C[C@H]3c4ccccc4C[C@@H]3O[C@H]2c2cccnc2)cc1,0.6000,4.4270,-9.8,-9.9
c1ccc(Cl)c2c1N[C@@H](C#N)CN2c1ccc(F)cc1,0.7630,4.1920,-8.6,-7.5
c1csc(Cn2ccccc2=O)c1CNC(=O)c1ccc(Br)cc1,0.6070,3.3340,-9.25,-10.1
c1ccc2c(c1)CC[C@](CNC(=O)c1ccccc1)C2,0.8060,3.2270,-9.3,-10.4
c1cncc(CS(=O)(=O)Cc2ccc(C(N)=O)cc2)c1,0.7980,3.0230,-8.6,-9.2
c1ccc(-c2nc(C(=O)N3CCC(C(C)(C)C)CC3)oc2C#N)cc1,0.7270,3.6970,-9.15,-10.1
c1csc(-c2n[nH]c3c2CCC[C@H]3CN2CCN(c3ccc(F)cc3)CC2)c1,0.6040,4.0300,-9.75,-9.9
c1ccccc1CCN1CCN(C=O)c2ccccc21,0.6940,3.1760,-8.95,-9.3
O=C(/C=C/c1ccc(C(F)(F)F)cc1)N1CCC(OC2CCCCC2)CC1,0.5830,3.3830,-9.3,-10.4
c1ccc2nsnc2c1,0.4500,3.0290,-7.5,-5.8
c1ccc(C[C@@H](O)c2cccc(F)c2)cc1OC(F)(F)F,0.7650,3.4390,-9.35,-9.7
c1cnc(-c2ccccc2CNC(=O)C(=O)N(C)CC(C)(C)O)cc1,0.7090,3.4550,-9.1,-9.6
O=C(CC1CCCC1)N[C@@H]1c2ccccc2CC[C@H]1c1cc(F)ccc1F,0.6650,4.0450,-10.0,-10.2
Fc1ccc(C[NH2+]CCOc2ccccc2)cc1,0.6750,3.6740,-8.45,-8.6
c1ccccc1COc1ccccc1C(=O)N1CC[C@H](c2ccc(F)cc2)C1,0.5260,3.2730,-9.9,-11.0
c1ccc(CCCN2C(=O)C[C@@H](C)C2=O)cc1,0.6430,3.3480,-8.6,-8.7
O=S(=O)(c1cccc(F)c1)N(CCC(F)F)C1CCCCC1,0.6930,3.4350,-8.8,-7.9
c1ccc(-n2nnnc2SCC(=O)[O-])cc1,0.5640,3.4740,-8.25,-8.1
c1cccc2cc(CNC(=O)NCc3nc(C(N)=O)nc4ccccc34)cnc12,0.3860,3.4370,-9.6,-11.2
c1csc2c1[C@@H](c1ccccc1)CCC2,0.5670,3.4680,-8.55,-8.7
O=C([O-])COc1ccccc1C(=O)N/N=C\c1ccc(Cl)cc1Cl,0.5240,3.4420,-8.65,-7.7
c1cnn2cc(CNCCOc3occc3F)nnc12,0.5780,4.1510,-8.45,-8.3
c1cc2cc(CN3CCCC3)nn2cc1Cl,0.6980,3.4540,-8.5,-8.3
c1cccc(C(=O)N2CCC(NC(=O)c3ccncc3)CC2)c1,0.8440,2.7790,-9.0,-9.9
c1cncc(-c2noc(C3CC[NH+](CCS(=O)(=O)c4ccccc4)CC3)n2)c1,0.5730,4.3370,-9.4,-9.8
S=C(N[C@@H]1CCSc2ccccc21)N1CCc2ccccc21,0.6910,3.8730,-9.45,-8.5
COc1ccc(/C=C(\C#N)C(=O)Nc2ccc3[nH]ccc3c2)cc1,0.4680,3.1740,-9.05,-10.6
O=C(Nc1ccc(S(=O)(=O)N2CCN(c3ccccc3)CC2)cc1)N[C@H]1C=CCC1,0.6200,3.7450,-9.45,-10.4
S=[P@@]1(Cc2ccccc2)CN1c1ccccc1,0.5040,4.3910,-8.45,-8.7
Sc1ccc(-n2cc(-c3ccccc3)nn2)c(C(=O)[O-])c1,0.6450,3.7980,-8.85,-8.8
