smiles,QED,SA,EGFR_Docking,HER2_Docking
N#C/C(=C\Nc1ccc(Cl)cc1)c1ccc([N+](=O)[O-])cn1,0.4290,3.4510,-8.65,-9.0
CC(=O)c1ccc(/C=C(/C#N)C(=O)[O-])cc1,0.3180,3.5500,-8.25,-7.6
O=C(CCCn1cncn1)NCC(=O)c1cccc(Cl)c1,0.6900,3.1990,-8.45,-8.8
CC(C)c1nnnc(NC(C2CC2)C2CC2)c1Cl,0.7890,4.1500,-8.55,-8.2
O=C(NC1CCCC1)[C@@H]1C=CC[C@@H]1c1cccc2ccccc12,0.7280,4.0900,-9.2,-10.6
N#C/C(=C/c1c[nH]c(=O)c(Cl)c1Cl)c1ccccc1O,0.7340,3.7820,-8.85,-7.3
Nc1c[nH]c(C(=O)Nc2ccccc2F)c1C(F)(F)F,0.6430,3.5040,-8.9,-8.8
CCCS(=O)(=O)N1CCCc2cc(NC(=O)C(=O)Nc3ccccc3OC)ccc21,0.5850,3.2830,-9.3,-10.2
O=C(C[C@H]1CCCCO1)N1CCCCC1,0.5980,3.4150,-8.4,-7.8
Nc1c(Sc2ncccc2COC(=O)c2ccc(Cl)cc2)sc2c1CCC2,0.4660,3.7000,-9.3,-8.9
CCCNC(=O)N[C@H](CO)c1cnn(C)c1,0.5690,3.8380,-7.95,-7.2
Cc1ccccc1S(=O)(=O)N1CCC([C@@H](C)OC(C)C)CC1,0.7350,3.7760,-8.8,-9.0
C=C(C)CN(C[C@@H]1CCCCO1)C(=O)Nc1nc(C)cc(CC)c1C,0.6850,4.2510,-9.0,-7.3
COc1cccc(NC(=O)Cc2ccccc2)c1OC(F)F,0.7890,2.8990,-8.75,-8.7
C[C@@H]1C[C@@H](CNC(=O)N2CCC(C)CC2)C[C@@H](C)C1,0.7150,4.0400,-8.75,-10.4
Cn1cc(C#N)c(S[C@H](C)C(=O)NCCc2ccccc2)c1C,0.7300,3.9150,-8.65,-9.0
C[C@H](C[NH2+][C@@H](c1ccccc1)c1ccncc1)c1ccccc1,0.6410,4.4630,-9.3,-10.0
C[C@@H](OC(=O)CCc1nc2ccccc2c(=O)n1CCc1ccccc1)[C@@H]1CCCO1,0.4200,4.1150,-9.6,-10.2
[C@H]Oc1ccc(C(=O)Cn2cc(-c3ccccc3)nn2)cc1,0.5780,3.4330,-8.9,-10.2
[C@H]Oc1ccccc1CNC(=O)Cc1c[nH]c2ccccc12,0.6590,3.3230,-9.1,-9.9
[C@H]Oc1ccc(NC(=O)NCCc2ccccc2)c(OC)c1,0.7610,3.1660,-8.75,-9.4
[C@H](C)Oc1cccc(NC(=O)[C@@H]2CCCN2S(=O)(=O)c2ccccc2)c1,0.7440,3.7530,-9.15,-10.4
[C@H]1CCCC[C@H]1C(=O)N1CCN(C(=O)Cc2ccccc2Cl)CC1,0.7430,3.9120,-8.95,-10.3
Nc1cccc(-c2ccc([N+](=O)[O-])cc2Br)c1,0.4220,3.0200,-8.95,-8.4
[C@@H]#CCN(C(=O)c1cccc(NC(=O)N(C)CCN2CCOCC2)c1)C1CC1,0.6270,3.5240,-8.75,-8.6
[C@@H]Oc1ccc(CNC(=O)Nc2nnc(C(F)(F)F)s2)cc1OC,0.7560,3.7390,-8.8,-10.1
[C@@H](C)Nc1ccc2[nH]c(=O)n(CCOC(C)C)c2c1,0.7400,3.8100,-8.35,-7.4
