smiles,QED,SA,EGFR_Docking,HER2_Docking
O=C(Nc1ccc2[nH]c(=O)[nH]c2c1)c1cccc(Cl)c1Cl,0.5760,3.0630,-9.35,-10.1
N#Cc1cc(NC(=O)c2occc2C(F)(F)Cl)ccc1OCC(=O)Nc1cc(Br)ccc1F,0.2780,3.7630,-9.45,-10.3
Fc1csc(-c2ccc(CNCCc3nnc[nH]3)cc2)n1,0.5860,3.9730,-8.6,-9.2
S=C(Nc1ccc2c(c1)OCO2)N1CCN(c2ccccc2F)CC1,0.7310,3.0800,-9.0,-10.1
O=C(Cc1cccc(F)c1)c1ccc(F)cc1Cl,0.6660,2.7640,-8.95,-9.2
O=[S@@](Cc1ccccc1)C(=O)/C=C/c1ccc2c(c1)CCO2,0.7150,4.0830,-8.95,-10.2
CSC[C@H](C)N(C)C(=O)Nc1ccccc1,0.7740,3.6010,-7.85,-7.7
SC1=NC=C(c2ccccc2)C1,0.5300,3.8670,-8.05,-6.8
S=C(NCc1ccncn1)N1CCCC1,0.6540,3.3170,-7.9,-6.9
S[C@@H]1CCCN(c2ccc([N+](=O)[O-])cc2[N+](=O)[O-])C1,0.4220,4.0110,-8.2,-6.6
[C@@H](CN(C)c1ccccc1)N1C(=O)[C@@](C)(c2ccccc2)c2ccccc21,0.5660,4.1900,-9.8,-7.8
O=C([O-])CN(Cc1ccc(Cl)cc1)C1CCCCC1,0.7310,3.3770,-8.4,-8.3
CC(=O)[C@@H](C)CNc1ccccc1Oc1ccccc1,0.7570,3.3280,-8.7,-9.0
N#Cc1ccc(C(=O)[C@@H](CO)CCc2ccco2)cc1O,0.6940,4.0400,-8.5,-8.5
Fc1ccc(CN/N=C/c2cn(-c3cccc([N+](=O)[O-])c3)s2)cc1,0.3210,3.8120,-8.85,-9.8
NC(=[NH2+])c1ccn(Cc2ccccc2)n1,0.4140,3.5770,-8.55,-8.3
NNC(=S)NNC(=O)CN1CCN=C1c1ccccc1F,0.2340,3.7630,-8.75,-8.5
N#Cc1csc(Cc2ccc(OCc3ccccc3)cn2)c1,0.6100,3.3110,-8.6,-9.3
FC(F)(F)c1ncccc1C(=O)N[C@H]1CCN(c2cccc(F)c2)C1,0.7620,3.7290,-9.15,-10.2
FC(F)(F)c1cccc2c1NC(=S)N2,0.5530,3.6580,-8.1,-7.4
F[C@H](CO)[C@@](CCl)c1ccccc1,0.6410,4.2450,-7.95,-6.8
O=C(NC(c1ccccc1)c1ccccc1)c1ccccc1Br,0.5940,2.6620,-9.55,-8.4
Cc1ccccc1NC(=O)CSc1ccc(F)cc1F,0.7630,2.7450,-8.7,-9.8
[C@H](C)CN1CCN([C@@H](C)C(=O)Nc2ccc(Cl)cn2)CC1,0.8020,3.8510,-8.5,-8.7
[C@H]1CCCC[C@H]1CNC(=O)C1CCN(S(=O)(=O)c2ccccc2)CC1,0.7740,3.8460,-9.1,-10.4
CC[C@H](C)C(=O)Nc1cc(C(=O)N2CC[C@@H](C(=O)[O-])C2)ccc1C,0.7770,4.0760,-9.25,-10.1
CCc1cc(C)cnc1COC(=O)[C@@H]1CN(C)CCO1,0.6780,4.1640,-8.5,-8.7
Cc1cc(NNC(=O)c2cccc3ccccc23)c(C)s1,0.6080,3.2140,-9.05,-9.8
COc1cccc(C(=O)N2CCC[C@@H](c3nc(C(C)C)co3)C2)c1F,0.7410,3.9850,-9.25,-9.2
CS/C([O-])=N/S(=O)(=O)c1ccc(F)cc1,0.4670,3.8740,-8.1,-7.0
C[C@H](NC(=O)NCc1nnc(-c2ccccc2)o1)[C@H]1CCS(=O)(=O)C1,0.7280,4.2150,-5.0,-10.0
Nc1cccc(C(=O)N2c3nc4ccccc4nc3CCC2)c1,0.6020,3.2940,-9.7,-10.4
O=C(CSc1cccc(Br)c1)NC1CCCC1,0.7600,2.9150,-8.35,-8.6
c1cc(C[NH+]2CCCC2)ccc1-c1ccccc1[N+](=O)[O-],0.5920,4.2540,-9.1,-9.5
c1ccc(CN2CCN(C(=O)[C@H](C#N)c3ccco3)CC2)c([N+](=O)[O-])c1,0.5020,3.9280,-8.95,-8.7
c1ccc(N2CC[C@@H](CNS(=O)(=O)c3cccc(C(F)(F)F)c3)C2)cc1Cl,0.6930,3.6120,-9.3,-11.7
