smiles,egfr,her2,qed,sa
Cc1cc(OC2=C(c3cccc(C(N)O)c3)CC=C(C3=C(C4=CC(=O)CC4)OCC(=O)O3)O2)cc(C)c1C,-10.60,-10.60,0.4205,4.2473
CC1=CC(C2=C(F)CC(O)=CC2NC2=CC=CC=C2)=CC2=CCC=CC12,-9.60,-9.60,0.6647,4.5084
NC(=O)C(=O)C1(N)N=C(N)C(c2cc(C3(N)C=CCC3)c(N)cc2N)=CN1,-9.60,-9.60,0.1840,4.9324
CC1=CC=CC(C2=CC=CC(N(C=O)C3=C(C=O)C(O)=CC(C)=C3)=C2)=C1,-9.50,-9.50,0.6769,2.6213
CC1=CC(NC(O)(C(=O)C2=C(O)NC(=O)C(C)C2)c2cc(C)c(C)c(C3=CNCC3)n2)([SH]=O)CN=C1C(O)C=O,-9.50,-9.50,0.1193,5.9211
CCC1(C2=C(C3=C(C)C(C(OC)(C4=CC(C)=CC=C4)N(C)C)=CC=C3)CN(C)C(=O)C2)C=CN=C1,-9.30,-9.60,0.5134,4.5304
CCC1=CC(c2ccc(F)c(O)c2)=NC(c2ccc(C3C=CCC3)cc2)N1C,-9.40,-9.40,0.6957,3.9669
CN(c1ccc(C2=CNC(SN)=C(C3=CNC=CC3)O2)c(CC2=CCCC2N)n1)c1cccc(O)c1C=O,-9.10,-9.50,0.1930,4.8946
CC1=C(N)N=CC(Oc2c(F)c(F)c(C)c(F)c2C(C)(C)C)(C2C=CCC2)C1,-9.30,-9.30,0.5486,4.5900
CC[SH]1C(C2C=CC=C2)=CC(C)C(C2=CC(O)=C(F)C(C)=C2O)=C1NC,-9.20,-9.30,0.4545,5.0814
CC(=O)C(=O)C=CC1=CC(C2(S)C=C(N)CC2)=NC(c2ccccc2)C1(C)C,-9.20,-9.20,0.4475,4.6552
NC1=CC=CCC1(N)c1cccc(C2=C(C(O)C3=CCC=C3)NC=CN2)c1,-9.20,-9.20,0.5674,4.8068
CC1=CC=C(C2(C)C(C3CC(C)NC(F)=C3C)=CNC(C)(O)N2C)C=C1,-9.20,-9.20,0.7076,4.7154
CC1=CNC=CC1(C=O)C1=C(C)C(F)=C(C(=O)C2CC=CCN2)C=C1Cl,-9.20,-9.20,0.4819,4.7334
CCC1=C(C=C2N=NC=C(CN3C=CC=CC3)O2)OC(OC(=O)N(C)C(C)=O)=C([SH]=O)C1,-9.10,-9.20,0.6054,4.9826
CC1=NC(C2=C(C3=CC=C(N(C)C)C(=N)C3)C(=O)C(C(F)(F)CN)=CC2)=C(C)N=C1,-9.10,-9.10,0.7732,4.0542
CC(=O)C1=C(C)C=C(N)C(C2=C(N(C)C=O)C(=O)CC(C(Br)N3C=CC(C)=CC3)=C2)=N1,-9.10,-9.10,0.2874,4.6405
CNC(=O)CC(N)(CN)N(C(=O)C1=C(N2CCC(Br)=C2CC(N)CO)N(C)CC1=O)C(CS)(NCO)NC(C)C,-9.00,-9.00,0.0508,5.5250
CC1=CC(C2=NC=CC(C)=C2O)=CC(C2(C)C(N)=C(C)C(C)=CN2C)=C1,-9.00,-9.00,0.8451,3.7645
CNc1cc(-c2cc(F)c(C=O)c(OC3(O)N=CCN3C)c2)c(C)cc1C,-9.00,-9.00,0.6244,3.9162
CCOC1(C(=S)C2=C(C)C=CC(C3=CC=CC=C3)=C2)C=CC(=O)C(C)=C1,-9.20,-8.70,0.5373,3.3540
CC1=CC(O)=CN(c2c(C)c(C)nc(C)c2C(=O)OC=C2CCC=C2S)C1,-8.90,-8.90,0.4443,4.1672
CCC(O)(C1=CN(C)C(N)C(C=O)=C1)C1(O)N=C(Cl)C(C)(C)C(C2=CCCC2)=N1,-8.90,-8.90,0.5904,5.3128
Nc1ccc(C=O)c(C2(N)NC(N(C=O)C3(O)CC=CO3)=C(O)OC2=O)c1,-8.90,-8.90,0.1864,5.0278
C=Cc1cccc(-c2nc(N3C=CC=C4CCC(CC)=C43)c(C)cc2S)c1,-8.80,-8.90,0.6006,3.5494
CC1=CC=C(C2=C(C)C(C)=C(N)C=C2C2=CC(C#N)SC(F)=C2)C=C1C,-8.80,-8.80,0.6646,3.8374
CC1=CC(O)(C=C2C=C(C)C(N(C)C3=CC=C(N(C)C)S3)C3OCC(C)N23)C=C1C,-8.80,-8.80,0.7817,5.2085
CC(=O)C1=C(C2(Cl)C=C(N)CC(C)=C2F)C(N)(N)CC(C2=CCNN2)=C1C,-8.80,-8.80,0.3673,5.0263
CNc1cc(-c2c(N)c(OC(C)=O)c(N)c(C3=CNC(=O)C3)c2O)cc(C2(N)C=CCC2)c1,-8.70,-8.70,0.1753,4.3142
CC1=C(C2=NN=CCC2)C(C)=C(C2=C(N)C(O)=NC=C2C2NC2=O)C=C1,-8.70,-8.70,0.7361,4.0384
CC1=C(C=O)C(=O)C(OC2(C#CC(=O)C(N)=O)C=NCC(C3C=CCN3)=C2N)=NC1N,-8.70,-8.70,0.0942,5.7491
CC1=COC(Br)=NC1(N)C1=C(C=O)C(CN)=CC=C1C(=O)N1C=CCC=C1,-8.70,-8.70,0.7125,4.6715
CC1=CCC(O)(C2=C(S)NC(CN(C(N)=O)C(N)(O)F)=C(C(N)=O)C2=C=O)C1,-8.70,-8.70,0.0950,5.1300
Cc1ccncc1-c1c(C)c(C2=CC=CC2)c(C(N)=O)c(C(C)(C)N)c1F,-8.70,-8.70,0.8541,3.3774
CC1C(F)=C(C(=O)C(=O)C(=O)C2(O)NNC([SH]=O)=C2F)C(CN)=NN1C(=O)F,-8.70,-8.70,0.1056,5.6012
C=CN1N(C2=NC=C(NCC)N=C2)C1(Cl)NN1C=CCC(C(C=O)=C2N=CN=C(C)N2C)=C1,-8.70,-8.60,0.1954,5.6476
CC1=CC(=O)C(C)C(C2=NC(O)(F)N(C3=C(C)C(=O)OC3C)C=C2)=C1C,-8.60,-8.70,0.6047,5.0392
CN=NC1=C(NC2(N3C=CC(C)C(N)=C3S)COC(Cl)=C(OC3=CCC=C3)C2=O)C(=O)NNC1Cl,-8.60,-8.60,0.1494,5.9862
C=CC(C(=O)c1ccc(Cl)cc1)(C1=CC(=C=O)C(C)=C(O)C1S)C1CC=CC1,-8.60,-8.60,0.2908,4.7469
CC1=CC(NC2=COC(C=O)=C(C3(C=O)SC(O)=C(N)C(F)=C3N)O2)=CC1,-8.60,-8.60,0.5130,5.2621
CCC1=C(C2=C(CO)C(N)=NC=C2)C(C)=C(C2C=CCC=C2)C(Cl)=C1S,-8.60,-8.60,0.4973,3.7272
CC1=NC(=O)C(Cl)=C(NC(=O)C2=C(C3=CC(C4=NC=CC4)CC(=O)N3)C=CCN2C=O)C1N,-8.60,-8.60,0.5038,5.1510
CNC1=NC(N(C)C(F)(C=O)C2=C(C)C=C3C=C(O)CC=C3C2=O)=CC=N1,-8.60,-8.60,0.6069,4.5111
CNC(=O)c1c(F)c([SH]2CCC=C2C=O)cc(F)c1N1C=CC(C(C)C(=O)O)=C(C(=O)Cl)C1,-8.60,-8.60,0.3027,5.2394
C=C1CC(N)=C(CC2=NC(=C(C)Cl)OC(C3=CCC=C3)=C2CN)C=C1N,-8.60,-8.60,0.7057,4.7014
C=CC1=C(C2=CC=C(OC3=CCC=C3)C=C2)C(C(=O)C(=O)NC)=CC=C1,-8.70,-8.40,0.6320,2.9600
CNC1=C(C2=C(C)C(S)=CC=C2)C(C2=CCC=C2)=NC(C2=CC=CN2)=C1,-8.50,-8.50,0.5210,3.4494
CC1=CC=CC(C2=CC(Cl)=C(O)C(C3(C4=NCCO4)C=CC=CO3)=C2)=C1,-8.50,-8.50,0.8516,3.8412
CCC(C)(C(=O)F)c1c(N)c(N2CCC(N)=N2)c(C)c(N)c1C(=O)OC1=CNNC(=O)C1C,-8.50,-8.50,0.2353,4.9608
C=CNC1=C(N)C(C2=CC=CC=N2)=C(C(=O)OC2=CC=CC=C2)C=C1C,-8.50,-8.50,0.4067,2.6316
C=C1CSC(C)=C(C2=C(CCN)C(F)=C(C3=CCC=C3)C(OC)=C2F)C1,-8.50,-8.50,0.7148,3.9979
CNC1=C(O)N(C2(Nc3ncccn3)C=NC(O)=C(F)O2)C(NC2(O)C=C(N)CC2)=C(O)C1(N)N,-8.50,-8.50,0.2100,5.4534
CNC1=CC(O)(OC2=C(C3(CCl)CC=CC3)C(=O)C(=O)C(C)=C2O)CC(C)=C1,-8.20,-8.80,0.2138,4.7077
COC1=C(O)C=CC=C1C1=CC(C=O)=C(C2=C(O)C(C)=CC=C2)C(C)=N1,-8.50,-8.50,0.6879,2.7053
CC1=CN(C=O)C(Cl)(C(=CC2=C(C)C=CC=C2)C2(C)NC=C(C)N2)NC1,-8.50,-8.50,0.4318,4.9101
CNCC1=C(C)C(C2=COC=CC2)=C(O)C(NC2=C(C)C(C)=CC=C2)=C1,-8.40,-8.40,0.6602,3.1794
CC(=O)C(C(=O)C1=CNCC1)=C1N=C(C2=C(F)CC(C=O)=CN2)C(C)=C(F)N1,-8.40,-8.40,0.2181,4.5566
CCc1nc(C2=NCCN2C)cc(C2(C)C(C)=C(C(N)O)C=C(N)N2C)c1C,-8.40,-8.40,0.6741,4.6264
CC1=C(C2(O)C=C(N(C)C3=C(N)C(O)=CC(N)N3)C=CN2)C=CC=C1N,-8.40,-8.40,0.3779,4.8788
CNC(F)(OC(C)=N)C1=C(N2C=CC=CC2)C(C)=CC(C)(S(=O)C2=CCCC2)C1,-8.40,-8.40,0.2897,5.4371
CC(=O)c1c(C)c(O)cc(N(C)c2ccc(C)cc2)c1N(C)C1CCC=C1C,-8.40,-8.40,0.5491,3.5844
CCC(NO)NC(=O)C1=C(C2=CC(=O)C=C2)C(NCCl)=C(F)C(O)=C1N,-8.40,-8.40,0.1050,4.3450
CNC1=C(c2cccc(C)c2)N=C(C)C2(C(N)=O)C(C)=CCC12N(C)C=O,-8.40,-8.40,0.6171,4.5134
CC1=C(C2=C(O)N(CC(C)(C)C3=NNC=CC3)C(=O)OC2)CC=CC1N,-8.40,-8.40,0.6710,4.8443
CCC1=CN=CC(c2cc(C=O)cc(C3=CCCO3)c2C)(N(C=O)CC=O)C1,-8.30,-8.40,0.6492,4.6296
CC(=O)C1(O)C(=O)C(C)=C(N)C(F)=C1c1cc(N)cc(C)c1C1(C)CC=NC1,-8.30,-8.30,0.5439,4.7073
CC1=C(N(C=O)C2=CC(N)C(N)=CC2=C=O)C(C2=CC=CNC2)=CC=C1,-8.30,-8.30,0.5620,4.6882
CCN1CC(=O)OC(Cl)=C1C12C(C)=C(C)CC1C=CC(C1(N)CC(N)(O)C(O)=C(C)N1C)=C2C,-8.30,-8.30,0.2701,5.5564
CCN(C=O)C1(c2cnc(C3=CCC=C3N)c(COC)c2)C=CCC(C)=C1,-8.30,-8.30,0.5936,4.5510
CC1=C(N)C(NC2(O)C=COC2)=C(C)C(C2(O)C=CC=C(C=O)O2)=C1N,-8.30,-8.30,0.3037,5.1393
CCC(=O)C1=C(O)C(F)(OC)C(C2=C(C)C(C)=C(C)C=C2)=CN1C(C)=O,-8.30,-8.30,0.8838,3.8947
CC1(O)C=CC(C2(C)C(=O)N=C3C(=O)C(C)(C)C=C(C=N)C3=C2O)=CO1,-8.30,-8.30,0.6549,5.2791
CCN1CC(N)=CC(N2CC(=O)C(C)=C(N(C)C3=C(O)C(F)=C(C)C=C3)N2C)=C1O,-8.30,-8.20,0.6859,4.0415
CNC1=C(C)C(NC)=C(C(O)(O)C2=CCC=C(C)C2=O)C(C)=C1C(C)=O,-8.20,-8.30,0.4770,3.7831
CNC1=C(C=O)C(C2(CN)CC=CC=C2C=O)C=C(C2=CCC(N)=N2)C1C,-8.20,-8.20,0.6175,5.4415
CNC1=CCCC=C1C(=O)C1=C(C)C(N)=C(C)C(N2C=CCC=N2)=C1CF,-8.20,-8.20,0.6070,4.2234
CCc1c(N)cc(N(C)C)c(C#N)c1N1C=CCC(C(C#N)C(O)C(C)C2(C)C=CCC2)=C1,-8.20,-8.20,0.4587,5.2646
CNc1ccc(N)cc1N1C(OC=O)=CC=CC1c1ccc(C2=CC(=O)CC2)nc1,-8.20,-8.20,0.5629,3.9961
CC1=CC(N)(C2(C3=NC=CC=C3)N=C(N)C(N)=C(F)C2=O)C(C#N)C=C1,-8.20,-8.20,0.7147,4.8542
CC(=O)OC1NC(C=O)=C(O)C(CN)=C1C1=C2CC=CC(N)=C2SC=C1,-8.20,-8.20,0.4299,4.8737
CCC(C1=CC(C2=CN(CC)C3=CCOC3=C2C)=C(Cl)C(Cl)=C1)N(C)C(C)(C)CC,-8.10,-8.20,0.4305,4.1885
CNC1=C(C2=NC(NC3=CCC(=O)C=C3)=CC=C2C(C)=CN)N=CC=C1,-8.10,-8.10,0.7681,3.4715
CC1=CC(N)=C(C2N=C(N(C)C=O)C(C)=C(C3CC3)C2(O)O)C(C)C1C,-8.10,-8.10,0.5275,5.0880
