smiles,egfr,her2,qed,sa
CC1=C(c2cc(-c3ccc(C=O)nc3)cc(-c3ccc(C)c(C)n3)c2)CCC1,-10.60,-10.70,0.5151,2.8219
CC1=C(N2C=CCC2O)C2=CC=CCN2C(C)=C1C1=C(O)C=C(C2=CC=CC=C2C=O)C(CC2=CC=CC=C2)=C1,-10.60,-10.60,0.3457,4.0583
CNCC1=CC(F)(C2=C(O)C(C3=C(C)C(N4CC(NC)=C(C)N=C4N)=CC(C)=C3)=CC(C)=C2O)NN1,-10.30,-10.30,0.3047,4.5563
Cc1ccc(N(C)C2=CNCC2)cc1C1=C(C=O)OC(N(C2=CC=CCO2)c2ccccc2)=CC1,-10.10,-10.10,0.5527,4.0568
CC1=CC(C2=CC(O)=C(C)C=C2)=C(C)C(N)=C1C1=C(C)C(N)=NC(C)(O)C1=O,-10.00,-9.90,0.5976,3.7235
CC1=CCCC=C1C1=CN(c2cccc(C)c2)CC(N(C)C2C=CCC2)=C1C,-9.90,-9.90,0.5731,4.1318
CC1=C(C)C(=O)C(C2=C(C)C(C3NC(C)NC(=O)N3C)=C(CO)C=C2F)=NC1=O,-9.80,-9.80,0.7087,4.4150
CC1=CCN(C2=C(C)C(S)=CC(N(C=O)C3=C(C)C=CC=C3)=C2)C(C)=C1,-9.60,-9.60,0.5673,3.4492
CC1=C(N)C(C2=CC(C3=CC=CC(C4=CC=CN=C4)=N3)C=CC2)C=CC1,-9.50,-9.60,0.8060,4.2085
Cc1cccc(C2=CC(N3N=CNCC3C)=C(O)C(C)(C3(C)C=CCC3)O2)n1,-9.50,-9.50,0.7789,5.0064
CC1=C(O)C=NC(CN)=C1CN(C=O)C1=CC(C2=CC=CC=C2)=CC=C1,-9.50,-9.50,0.6700,2.8203
CC1=CC(NCN)=C(SC2=C(Cl)C(C3=CC(C)=C(C)C=C3)=C(C3=C(F)C(C)=CC=C3)C(NC3(O)C=CC=CN3)=C2)C1=O,-9.40,-9.50,0.1807,4.4183
Cc1cc(-c2cc(C)c(C#N)c(C3=C(O)C(F)=C(F)N(C4=NCCC4)C3)c2)c(N(C)C=O)cc1C,-9.40,-9.40,0.4583,3.7976
CC1=CC(C2=C(O)C(N)=C(C3(F)C=C(C)C(O)=C(C)N3)C=C2)=C(N)C=C1,-9.30,-9.30,0.3182,3.8041
Cc1cc(N)ccc1C(F)(C=O)C1=C(OC2(C)C=CCC2)OC(=O)C(=O)C1=O,-9.30,-9.20,0.2702,4.6083
CNC(O)c1cc(C=O)c(N2N=C(N=N)OC=C2C)nc1-c1nc(C)c(C(C)=O)c(N2C=CCC2=O)c1O,-9.20,-9.20,0.1824,4.9248
CC1=C(C2(N)CC=CO2)C(C)(C)OC(C2=C(C)C(C)=C(S)C(N)=C2C)=C1,-9.20,-9.20,0.5265,4.7199
