smiles,qed,sa,egfr,her2
O=C(c1cn(-c2ccccc2)nc1-c1ccccc1)N1CCC(c2nc3ccccc3[nH]2)CC1,0.3892,3.2749,-10.3,-11.2
O=C(NCc1cccc(N2CCCC2=O)c1)Nc1ccc(-c2nc3ccccc3o2)cc1,0.46299999999999997,3.1732,-10.0,-11.3
O=C(C1=c2ccccc2=[NH+]C1)N1CCC[C@@H](c2nnc(-c3ccccc3)o2)C1,0.6919,4.5963,-9.7,-11.2
O=C(NCCN1C(=O)c2ccccc2C1=O)c1ccc(C(=O)N2CCCCC2)cc1,0.7639,2.9546,-10.0,-10.6
O=C(NCc1ccccc1)c1cccc(-c2nc(-c3ccccc3)no2)c1,0.5684,2.7771,-9.6,-10.9
O=C(c1cncc(NC(=O)c2ccccc2)c1)N1CCCc2ccccc21,0.7625,2.9812,-9.5,-10.9
O=C(Nc1ccccc1)c1ccc2c(c1)CCCN2S(=O)(=O)c1ccccc1,0.7175,2.8849,-9.7,-10.7
O=C(Nc1ccc(C2=NC(=O)c3ccccc32)cc1)c1ccc(F)cc1,0.7685,2.9555,-10.1,-10.3
O=C(c1cnn(-c2ccccc2)c1)N1CCC[C@@H](c2nc(-c3ccccc3)no2)C1,0.5094,3.6814,-9.3,-11.1
O=C(c1cn(-c2ccccc2)nc1-c1ccccc1)N1CCN(Cc2ccc(F)cc2)CC1,0.4442,3.0309,-10.2,-10.0
O=C(Cn1nnnc1-c1ccccc1)Nc1cccc(C(=O)N2CCCC2)c1,0.7269,3.0318,-9.7,-10.5
CCc1ccccc1C(=O)Nc1cccc(CN2CCN(c3ccccc3)CC2)c1,0.6352,2.865,-9.6,-10.6
O=C(c1cn(-c2ccccc2)nc1-c1ccccc1)N1CCC[C@@H]1c1nc2ccccc2[nH]1,0.40299999999999997,3.6946,-10.6,-9.5
O=C(Nc1ccc(F)c(F)c1)c1cccc(CSc2nc3ccccc3s2)c1,0.3917,3.0242,-9.8,-10.2
O=C(C1=C([O-])C(=O)N(Cc2ccccc2)C1=O)Nc1cccc(OCc2ccccc2)c1,0.4512,3.3674,-9.6,-10.3
O=C(c1cn(Cc2ccccc2)nc1-c1ccccc1)N1CCN(c2cccc[nH+]2)CC1,0.4836,3.8472,-10.1,-9.8
O=C(c1cn(CCc2ccccc2)nc1-c1ccccc1)N1CCN(c2cccc[nH+]2)CC1,0.4525,3.8954,-10.3,-9.6
O=C(NCCC1=c2ccccc2=[NH+]C1)c1cccc(NC(=O)[C@H]2CC(=O)N(c3ccccc3)C2)c1,0.4587,4.4092,-9.8,-10.0
O=C(Cc1noc2ccccc12)N1CCC[C@H](c2ccccc2)C1,0.7277,3.5411,-9.6,-10.1
O=C(c1cnc2sc3c(c2c1)CCCC3)N1CCc2ccccc2C1,0.644,3.3703,-9.2,-10.5
CCOc1ccc(C(=O)N2CCC(C(=O)N3CCC(C(=O)NCc4ccc(F)cc4)CC3)CC2)cc1,0.6264,3.1316,-8.9,-10.7
O=C(Nc1ccc(NC(=O)c2ccccc2)cc1)c1cccc(NC(=O)c2ccccc2)c1,0.36669999999999997,2.5067,-9.4,-10.2
Cc1n[nH]c(C)c1CCC(=O)N1CCC[C@@H](C(=O)NCC2(c3ccc(F)cc3)CCCC2)C1,0.6547,4.0805,-9.9,-9.7
O=C(c1cnn2cc(Br)cnc12)N1CCC[C@H](c2nc3ccccc3[nH]2)C1,0.5242,3.9922,-9.2,-10.4
O=C(Nc1cccc(C(=O)N2CCCC2)c1)c1ccccc1C(F)(F)F,0.8799,2.8632,-9.9,-9.6
O=C(c1cn(-c2ccccc2)nc1-c1ccccc1)N1CCN(C(=O)C2CC2)CC1,0.6656,3.0497,-10.0,-9.5
COc1ccccc1[C@@H](CNC(=O)c1cccc([N+](=O)[O-])c1)NC(=O)c1ccccc1,0.4188,3.475,-9.6,-9.9
O=C(CS(=O)(=O)Cc1ccccc1)Nc1cccc(C(=O)Nc2ccccc2)c1,0.6159,2.8476,-9.4,-10.0
O=C(c1cn[nH]c1-c1ccccc1)N1CCC[C@H](c2nc3ccccc3s2)C1,0.543,3.7268,-9.5,-9.9
O=C(c1cnc2nc(-c3ccccc3)nn2c1CC1CCC1)N[C@@H]1CC[NH+](Cc2ccccc2)C1,0.4283,5.0546,-9.4,-10.0
