smiles,qed,sa,egfr,her2
COc1ccccc1CNC(=O)NCc1cc(-c2ccccc2)nc2ccccc12,0.4759,2.9708,-10.4,-10.3
Cc1cccc(-n2cc(C(=O)N3CCC(C(=O)Nc4ccccc4C)CC3)nc2C)c1,0.6799999999999999,3.2734,-9.8,-10.8
C[C@@H](NC(=O)C1=CCN(c2ccccc2)CC1)c1ccc2c(c1)CCC(=O)N2,0.8486,3.9412,-9.4,-10.6
CNC(=O)Cc1cccc(NC(=O)Nc2ccccc2C(=O)Nc2ccccc2F)c1,0.4748,2.9597,-9.9,-9.9
CCNC(=O)c1cc(NC(=O)N2CCC[C@H](C(=O)Nc3ccccc3)C2)cc(C)c1C,0.6717,3.5837,-9.5,-10.2
C[C@@H]1Oc2ccccc2C(=O)N1CCCNC(=O)C(=O)Nc1ccc(F)c(F)c1,0.5824,3.9006,-9.5,-9.8
Cc1cccc(-c2cc(C(=O)Nc3cccc(C)c3)no2)c1,0.7763,2.8615,-9.3,-9.9
C[C@H]1CN(c2ccc(C(=O)Nc3ccccc3C(F)(F)F)cc2)C[C@@H](C)O1,0.8407,3.7765,-9.6,-9.6
Cc1cccc(C)c1NC(=O)c1ccc(NC(=O)CN2CCN(c3ccccc3O)CC2)cc1,0.5095999999999999,3.0496,-9.0,-10.2
Cc1ccc(S(=O)(=O)N2CCC(C(=O)Nc3ccccc3C(=O)NC3CCCCC3)CC2)cc1,0.6367,3.0952,-9.1,-10.0
C[C@@H](c1nc(-c2cccc(F)c2)no1)N(C)C(=O)c1cccc(S(N)(=O)=O)c1,0.6871,3.8195,-9.0,-10.1
CNC(=O)N1CCC(C(=O)N2CCC(c3nc4ccccc4cc3C(C)C)CC2)CC1,0.7993,3.5256,-9.7,-9.4
C[C@@H](c1ccccc1)N(C)C(=O)[C@@H]1CCCN(C(=O)c2ccccc2F)C1,0.8113,3.7143,-9.3,-9.7
CCOc1cc(F)cc(C(=O)N2CCC(c3nc4ccccc4o3)CC2)c1,0.6755,3.2208,-9.2,-9.8
C[C@H]1CN(c2cccc(CC(=O)NCc3ccc(N4CCOCC4)cc3)c2)C[C@@H](C)O1,0.7642,3.948,-9.1,-9.9
Cc1cccc(NC(=O)C(=O)NC2CCC(C(=O)Nc3ccccc3)CC2)c1,0.7028,2.9294,-8.8,-10.1
COc1ccccc1NC(=O)c1ccc(CNC(=O)c2ccc(C)cc2)cc1,0.6698999999999999,2.6086,-9.4,-9.5
COc1ccccc1-n1c(SCC(=O)Nc2ccc(C)cc2C)nnc1-c1ccccc1,0.3823,3.0296,-8.7,-10.2
C[C@@H]1COc2ccccc2N1C(=O)CSc1nc2ncccc2c(=O)[nH]1,0.5533,4.0617,-9.5,-9.4
C[C@H]1CCCN(S(=O)(=O)c2cccc(C(=O)Nc3ccccc3)c2)C1,0.9012,3.2136,-9.2,-9.7
CNC(=O)c1cccc(NC(=O)C(=O)N2CCC[C@@H]2c2ccccc2)c1,0.8234,3.4621,-9.0,-9.8
CC(C)NC(=O)N1CCC(NC(=O)CN2C(=O)CCc3ccccc32)CC1,0.8334,3.2348,-8.9,-9.9
C[C@H]1CCCCN1S(=O)(=O)c1ccccc1C(=O)NCCc1ccccc1,0.8189,3.3985,-9.3,-9.5
Cc1cc(O)c(C(=O)NCC(=O)N2CCC[C@H](C(=O)Nc3ccccc3)C2)c(C)c1,0.6969,3.6158,-8.9,-9.9
Cc1cc(C)cc(NC(=O)CSc2nnc(NC(=O)c3ccccc3)n2C)c1,0.6145,3.1717,-8.7,-10.1
COc1ccccc1[C@H]1C[C@@H](C)N(C(=O)C(=O)Nc2ccccc2C(C)C)C1,0.8004,4.065,-8.7,-10.1
CCOc1ccccc1NC(=O)C(=O)N1CCC[C@@H](C(=O)N(C)Cc2ccc(F)cc2)C1,0.6892,3.6722,-8.6,-10.2
C[C@H]1CN(c2ccccc2CN2C(=O)CCC2=O)CC(=O)N1c1ccc(F)cc1,0.7372,3.9079,-9.2,-9.6
Cc1ccc(NC(=O)CCNC(=O)Nc2cccc(C(F)(F)F)c2)c(C)c1,0.7071999999999999,2.9159,-9.1,-9.7
CN(C(=O)Cc1ccccc1)[C@H]1CCCc2c1cnn2Cc1ccccc1,0.6803,3.6718,-9.2,-9.6
CNC(=O)NC1CCN(C(=O)[C@@H]2CCCN(C(=O)c3ccccc3F)C2)CC1,0.8126,3.6312,-9.4,-9.3
Cc1cc(C)nc(SCC(=O)Nc2cccc(C(=O)Nc3ccccc3)c2)n1,0.4778,2.9045,-9.0,-9.7
C[C@H]1CCCC[C@H]1NC(=O)NCCc1ccc(NC(=O)c2ccccc2)cc1,0.6879,3.5597,-8.7,-10.0
Cc1ccc(OCC(=O)N2CCC(Cc3ccccc3)CC2)cc1C,0.8096,2.8457,-8.7,-10.0
Cc1ccc(-c2nnc(SCC(=O)Nc3cccc(C)c3)n2C)cc1,0.6990999999999999,2.8817,-8.6,-10.1
CN(CC(=O)NCc1ccc(Cl)cc1)C(=O)CN1C(=O)c2ccccc2C1=O,0.739,3.0094,-8.8,-9.8
C[C@H]1CN(c2ccccc2CNC(=O)NC[C@@H](C)Cc2ccccc2)C[C@@H](C)O1,0.7356,4.1392,-9.0,-9.6
