smiles,qed,sa,egfr,her2
C[C@@H]1Cc2ccccc2N1C(=O)c1cccc(NC(=O)c2ccc(OC3CCCC3)cc2)c1,0.5313,3.5927,-10.6,-12.0
O=C(NC1CC[NH+](CC2=Cc3ccccc3OC2)CC1)N1CCC[C@@H](c2nc(-c3ccccc3)no2)C1,0.5524,4.8994,-11.3,-11.1
O=C([O-])c1cccc(-c2ccc(NC(=O)c3ccc4ccccc4c3)cc2)c1,0.5805,3.0644,-10.3,-11.3
O=C(Nc1ccc2[nH]c(=O)c(-c3ccccc3)cc2c1)c1ccc(Cl)cc1,0.5136,2.8532,-9.9,-10.9
O=C(Nc1ccccc1)c1ccccc1C(=O)Nc1ccc2c(c1)CCC(=O)N2,0.6224999999999999,2.9651,-10.3,-10.3
O=C(NCC1CCN(c2cccc[nH+]2)CC1)c1cnc(-c2ccccc2)nc1-c1ccccc1,0.4662,3.9614,-9.9,-10.4
O=C(NCc1nnc(-c2ccc(F)cc2)n1-c1ccccc1)c1ccc(Cl)cc1Cl,0.4468,3.0656,-9.8,-10.5
O=C(Nc1ccc2c(c1)CCCC2)c1cccc(S(=O)(=O)N2CCCCC2)c1,0.8367,2.9901,-9.4,-10.7
O=C(Nc1ccccc1C(=O)NCCc1ccccc1)c1ccc(F)cc1F,0.6637,2.7557,-10.2,-9.9
Cc1ccc(C(=O)NNC(=O)c2ccccc2OCc2ccccc2)cc1,0.6727,2.6809,-9.5,-10.4
CS(=N/NC(=O)c1cccc(NC(=O)CCc2ccccc2)c1)C(=O)NCc1ccccc1,0.4266,3.9463,-9.4,-10.5
O=C(C[NH+]1CCc2ccccc2C1)Nc1cccc(C(=O)N2CCCC2)c1,0.854,4.3862,-9.7,-10.2
O=C(NCc1nc(-c2ccccc2)no1)c1ccc(-c2ccccc2)cc1,0.5684,2.778,-9.4,-10.5
O=C(NC1CCN(C(=O)c2ccccc2)CC1)c1cccc(NC(=O)c2ccc(F)cc2)c1,0.6103999999999999,2.8886,-9.7,-10.2
O=C(Nc1cccc(C(=O)N2CCN(Cc3ccccc3)CC2)c1)c1ccc(Cl)cc1,0.6318,2.7663,-9.9,-9.9
COc1ccc(CCNC(=O)N2CCC[C@@H](C(=O)Nc3ccc(C)c(C)c3)C2)cc1,0.7498,3.4255,-9.2,-10.6
CC(=O)Nc1cccc(CNC(=O)C(=O)Nc2ccccc2C(=O)Nc2ccc(F)cc2)c1,0.4231,2.9837,-9.7,-10.0
O=C(Nc1ccccc1C(=O)NCCc1ccccc1)c1cccc(F)c1,0.6849999999999999,2.652,-9.7,-9.9
O=C(NC1CC1)c1cccc(C(=O)N2CCC(c3ccccc3)CC2)c1,0.9077,2.8434,-9.8,-9.8
Cc1cc(NC(=O)c2cccc(NC(=O)c3ccccc3)c2)ccc1Br,0.6076,2.6565,-9.2,-10.3
